,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,TV,39.0,337845.0,,8.67,"['Action', 'Adventure', 'Shounen']",        Oct 2018 - Jul 2019,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
1,Yakusoku no Neverland,The Promised Neverland,TV,12.0,645117.0,,8.67,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Thriller', 'Shounen']",        Jan 2019 - Mar 2019,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
2,Ashita no Joe 2,Rocky Joe 2,TV,47.0,23689.0,,8.66,"['Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports']",        Oct 1980 - Aug 1981,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
3,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Fate/stay night: Heaven's Feel - II. Lost Butterfly,Movie,1.0,139562.0,,8.64,"['Action', 'Fantasy', 'Magic', 'Supernatural']",        Jan 2019 - Jan 2019,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
4,Mushishi Zoku Shou: Suzu no Shizuku,,Movie,1.0,83826.0,,8.65,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",        May 2015 - May 2015,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
5,One Punch Man,,TV,12.0,1682234.0,,8.64,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",        Oct 2015 - Dec 2015,https://myanimelist.net/anime/30276/One_Punch_Man
6,Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Nekketsu,Movie,1.0,245768.0,,8.64,"['Action', 'Mystery', 'Supernatural', 'Vampire']",        Aug 2016 - Aug 2016,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
7,Death Note,,TV,37.0,2074444.0,,8.63,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",        Oct 2006 - Jun 2007,https://myanimelist.net/anime/1535/Death_Note
8,Ping Pong the Animation,,TV,11.0,218632.0,,8.63,"['Drama', 'Psychological', 'Seinen', 'Sports']",        Apr 2014 - Jun 2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
9,Bakuman. 3rd Season,Bakuman.,TV,25.0,240878.0,,8.62,"['Comedy', 'Drama', 'Romance', 'Shounen']",        Oct 2012 - Mar 2013,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
10,Fate/Zero 2nd Season,Fate/Zero Season 2,TV,12.0,690701.0,,8.62,"['Action', 'Supernatural', 'Magic', 'Fantasy']",        Apr 2012 - Jun 2012,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
11,Hajime no Ippo: Rising,Hajime No Ippo: The Fighting!,TV,25.0,150692.0,,8.61,"['Comedy', 'Sports', 'Drama', 'Shounen']",        Oct 2013 - Mar 2014,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
12,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,Movie,1.0,229056.0,,8.62,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",        Aug 2019 - Aug 2019,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kurenai_Densetsu
13,Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV,13.0,179505.0,,8.61,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Jul 2011 - Sep 2011,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
14,Violet Evergarden,,TV,13.0,763407.0,,8.62,"['Slice of Life', 'Drama', 'Fantasy']",        Jan 2018 - Apr 2018,https://myanimelist.net/anime/33352/Violet_Evergarden
15,Yojouhan Shinwa Taikei,The Tatami Galaxy,TV,11.0,261041.0,,8.62,"['Mystery', 'Comedy', 'Psychological', 'Romance']",        Apr 2010 - Jul 2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
16,Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,TV,13.0,196727.0,,8.61,"['Drama', 'Historical', 'Josei']",        Jan 2016 - Apr 2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
17,Haikyuu!!,Haikyu!!,TV,25.0,830449.0,,8.6,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Apr 2014 - Sep 2014,https://myanimelist.net/anime/20583/Haikyuu
18,Kimi no Suizou wo Tabetai,I want to eat your pancreas,Movie,1.0,254780.0,,8.6,['Drama'],        Sep 2018 - Sep 2018,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
19,Mushishi: Hihamukage,The Shadow that Devours the Sun,Special,1.0,92692.0,,8.59,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",        Jan 2014 - Jan 2014,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
20,Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,TV,11.0,117593.0,,8.6,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Oct 2016 - Dec 2016,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
21,Sora yori mo Tooi Basho,A Place Further Than The Universe,TV,13.0,274299.0,,8.6,"['Adventure', 'Comedy', 'Drama']",        Jan 2018 - Mar 2018,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
22,Chihayafuru 3,,TV,24.0,65482.0,,8.59,"['Game', 'Slice of Life', 'Sports', 'Drama', 'School', 'Josei']",        Oct 2019 - Mar 2020,https://myanimelist.net/anime/37379/Chihayafuru_3
23,Kingdom 3rd Season,,TV,,21267.0,,8.57,"['Action', 'Historical', 'Military', 'Seinen']",        Apr 2020 - ,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
24,Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,TV,13.0,182557.0,,8.58,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Jan 2009 - Mar 2009,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
25,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,TV,25.0,678381.0,,8.57,"['Action', 'Comedy', 'School', 'Shounen']",        Jan 2016 - Jul 2016,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
26,Kara no Kyoukai 5: Mujun Rasen,the Garden of sinners Chapter 5: Paradox Paradigm,Movie,1.0,172272.0,,8.58,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Thriller']",        Aug 2008 - Aug 2008,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
27,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,Movie,1.0,151934.0,,8.58,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",        Apr 2009 - Apr 2009,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
28,Aria the Origination,,TV,13.0,89431.0,,8.56,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",        Jan 2008 - Apr 2008,https://myanimelist.net/anime/3297/Aria_the_Origination
29,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39.0,444775.0,,8.56,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",        Apr 2016 - Dec 2016,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
30,Tenki no Ko,Weathering With You,Movie,1.0,255011.0,,8.55,"['Slice of Life', 'Drama', 'Romance', 'Fantasy']",        Jul 2019 - Jul 2019,https://myanimelist.net/anime/38826/Tenki_no_Ko
31,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26.0,179906.0,,8.55,"['Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",        Jan 2004 - Jan 2005,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
32,Saiki Kusuo no Ψ-nan 2,The Disastrous Life of Saiki K. 2,TV,24.0,231077.0,,8.54,"['Slice of Life', 'Comedy', 'Supernatural', 'School', 'Shounen']",        Jan 2018 - Jun 2018,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
33,Gintama.: Porori-hen,Gintama.: Slip Arc,TV,13.0,99851.0,,8.53,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Oct 2017 - Dec 2017,https://myanimelist.net/anime/35843/Gintama__Porori-hen
34,Mo Dao Zu Shi,,ONA,15.0,95636.0,,8.53,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Historical', 'Supernatural']",        Jul 2018 - Oct 2018,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
35,Rainbow: Nisha Rokubou no Shichinin,Rainbow,TV,26.0,266433.0,,8.54,"['Drama', 'Historical', 'Seinen', 'Thriller']",        Apr 2010 - Sep 2010,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
36,Slam Dunk,,TV,101.0,166398.0,,8.53,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Oct 1993 - Mar 1996,https://myanimelist.net/anime/170/Slam_Dunk
37,Steins;Gate 0,,TV,23.0,477846.0,,8.52,"['Sci-Fi', 'Thriller']",        Apr 2018 - Sep 2018,https://myanimelist.net/anime/30484/Steins_Gate_0
38,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Steins;Gate: The Movie − Load Region of Déjà Vu,Movie,1.0,391591.0,,8.52,"['Sci-Fi', 'Drama']",        Apr 2013 - Apr 2013,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
39,Uchuu Kyoudai,Space Brothers,TV,99.0,132299.0,,8.53,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",        Apr 2012 - Mar 2014,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
40,Gintama Movie 1: Shinyaku Benizakura-hen,Gintama: The Movie,Movie,1.0,99198.0,,8.52,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2010 - Apr 2010,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
41,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24.0,452111.0,,8.52,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",        Jan 2015 - Jun 2015,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
42,Boku no Hero Academia 2nd Season,My Hero Academia 2,TV,25.0,1218958.0,,8.5,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",        Apr 2017 - Sep 2017,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
43,Hotaru no Haka,Grave of the Fireflies,Movie,1.0,355477.0,,8.51,"['Drama', 'Historical']",        Apr 1988 - Apr 1988,https://myanimelist.net/anime/578/Hotaru_no_Haka
44,Mob Psycho 100,,TV,12.0,951099.0,,8.5,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",        Jul 2016 - Sep 2016,https://myanimelist.net/anime/32182/Mob_Psycho_100
45,Neon Genesis Evangelion: The End of Evangelion,,Movie,1.0,448206.0,,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",        Jul 1997 - Jul 1997,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
46,Haikyuu!!: To the Top,,TV,13.0,244939.0,,8.49,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Jan 2020 - Apr 2020,https://myanimelist.net/anime/38883/Haikyuu__To_the_Top
47,Kaze ga Tsuyoku Fuiteiru,Run with the Wind,TV,23.0,141883.0,,8.5,"['Comedy', 'Sports', 'Drama']",        Oct 2018 - Mar 2019,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
48,Samurai Champloo,,TV,26.0,753833.0,,8.5,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",        May 2004 - Mar 2005,https://myanimelist.net/anime/205/Samurai_Champloo
49,Nichijou,Nichijou - My Ordinary Life,TV,26.0,547760.0,,8.49,"['Slice of Life', 'Comedy', 'School', 'Shounen']",        Apr 2011 - Sep 2011,https://myanimelist.net/anime/10165/Nichijou
