,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Tenchi Muyou! Ryououki 5th Season,,OVA,6.0,1643.0,,6.13,"['Action', 'Sci-Fi', 'Harem', 'Space', 'Comedy', 'Shounen']",        Feb 2020 - May 2021,https://myanimelist.net/anime/40097/Tenchi_Muyou_Ryououki_5th_Season
1,Tenchi Muyou! Ryououki: Heianmuyo! Picture Drama,,OVA,1.0,441.0,,,"['Comedy', 'Historical']",        1993 - 1993,https://myanimelist.net/anime/40779/Tenchi_Muyou_Ryououki__Heianmuyo_Picture_Drama
2,Tengai Makyou: Jiraiya Oboro-hen,,OVA,2.0,285.0,,,"['Adventure', 'Fantasy']",        Jul 1990 - Aug 1990,https://myanimelist.net/anime/5986/Tengai_Makyou__Jiraiya_Oboro-hen
3,Tengoku,Heaven,Music,1.0,118.0,,,['Music'],        Apr 2012 - Apr 2012,https://myanimelist.net/anime/36081/Tengoku
4,Tenjouhen: Utsunomiko,,Movie,1.0,524.0,,,"['Adventure', 'Demons', 'Fantasy']",        Sep 1990 - Sep 1990,https://myanimelist.net/anime/5922/Tenjouhen__Utsunomiko
5,Tenka Muteki no Gouyaaman★,,Music,1.0,70.0,,,"['Kids', 'Music', 'Super Power']",        Oct 2001 - Oct 2001,https://myanimelist.net/anime/38311/Tenka_Muteki_no_Gouyaaman★
6,Tenka Touitsu Koi no Ran: Shutsujin! Saika 4-nin Shuu,,ONA,4.0,298.0,,,"['Historical', 'Drama', 'Romance', 'Samurai']",        May 2018 - Jun 2018,https://myanimelist.net/anime/37280/Tenka_Touitsu_Koi_no_Ran__Shutsujin_Saika_4-nin_Shuu
7,Tenka wo Mezashita Sannin no Bushou,,OVA,1.0,140.0,,,"['Drama', 'Historical', 'Kids', 'Samurai']",        2004 - 2004,https://myanimelist.net/anime/26273/Tenka_wo_Mezashita_Sannin_no_Bushou
8,Tenki ni Naare,,OVA,1.0,126.0,,,"['Drama', 'Historical', 'Kids', 'Space']",        1995 - 1995,https://myanimelist.net/anime/26239/Tenki_ni_Naare
9,Tenkousei wa Kounin Kaikeishi!,,OVA,1.0,142.0,,,"['Slice of Life', 'School']",        Mar 2013 - Mar 2013,https://myanimelist.net/anime/37133/Tenkousei_wa_Kounin_Kaikeishi
10,Tenkousei wa Uchuujin,,Music,1.0,143.0,,,"['Music', 'Kids']",        Jun 1988 - Jun 1988,https://myanimelist.net/anime/32167/Tenkousei_wa_Uchuujin
11,Tenkuu Senki Shurato Recaps,,Special,2.0,393.0,,,"['Action', 'Magic', 'Fantasy', 'Shounen']",        Dec 1989 - Jan 1990,https://myanimelist.net/anime/24619/Tenkuu_Senki_Shurato_Recaps
12,Tenkyuu no Arculs,"Celestial ""Arculs""",ONA,1.0,171.0,,,"['Fantasy', 'Game']",        Jun 2016 - Jun 2016,https://myanimelist.net/anime/36638/Tenkyuu_no_Arculs
13,Tennis no Ouji-sama: Best Games!!,,OVA,,2274.0,,,"['Action', 'Comedy', 'School', 'Shounen', 'Sports']",        Oct 2018 - ,https://myanimelist.net/anime/36952/Tennis_no_Ouji-sama__Best_Games
14,Tenrankai de Atta Onnanoko,,Music,1.0,179.0,,,"['Music', 'Kids']",        Jun 1990 - Jun 1990,https://myanimelist.net/anime/29457/Tenrankai_de_Atta_Onnanoko
15,Tensai Bakavon: Yomigaeru Flanders no Inu,,Movie,1.0,252.0,,,"['Comedy', 'Parody']",        May 2015 - May 2015,https://myanimelist.net/anime/25987/Tensai_Bakavon__Yomigaeru_Flanders_no_Inu
16,Tensai Eri-chan Kingyo wo Tabeta,,Movie,1.0,135.0,,,"['Kids', 'Slice of Life', 'Comedy']",        Apr 1997 - Apr 1997,https://myanimelist.net/anime/18907/Tensai_Eri-chan_Kingyo_wo_Tabeta
