,name,type,episodes,members,score_members,rating,genre,dates,url
0,Yocchan no Biidama,Special,1.0,133.0,,,"['Drama', 'Historical']",        1999 - 1999,https://myanimelist.net/anime/20227/Yocchan_no_Biidama
1,Yogen-sha Ikusei Gakuen: Fortune Tellers Academy,ONA,1.0,236.0,,,['Fantasy'],        Apr 2017 - Apr 2017,https://myanimelist.net/anime/35353/Yogen-sha_Ikusei_Gakuen__Fortune_Tellers_Academy
2,Yogishayo Isoge,Music,1.0,43.0,,,"['Kids', 'Music', 'Romance']",        Dec 1994 - Dec 1994,https://myanimelist.net/anime/41622/Yogishayo_Isoge
3,Yokohama Bakkure-tai,OVA,4.0,233.0,,,"['Action', 'Comedy', 'Romance', 'Shounen']",        Dec 1993 - Feb 1995,https://myanimelist.net/anime/25815/Yokohama_Bakkure-tai
4,Yokohama Meibutsu: Otoko Katayama-gumi!,OVA,2.0,341.0,,,"['Action', 'School', 'Shounen']",        Aug 1991 - Mar 1992,https://myanimelist.net/anime/10113/Yokohama_Meibutsu__Otoko_Katayama-gumi
5,"Yoligongju LoopyLoopy, the Cooking Princess",TV,6.0,176.0,,,"['Kids', 'Magic']",        2012 - 2012,https://myanimelist.net/anime/27467/Yoligongju_Loopy
6,Yong Zhe Da Mao Xian,ONA,26.0,467.0,,,"['Adventure', 'Fantasy']",        Mar 2015 - Oct 2015,https://myanimelist.net/anime/33762/Yong_Zhe_Da_Mao_Xian
7,Yong Zhe Da Mao Xian 2nd Season,ONA,26.0,255.0,,,"['Adventure', 'Fantasy']",        Mar 2016 - Oct 2016,https://myanimelist.net/anime/33763/Yong_Zhe_Da_Mao_Xian_2nd_Season
8,YongshiWarrior,Movie,1.0,156.0,,,"['Historical', 'Martial Arts']",        Jun 2007 - Jun 2007,https://myanimelist.net/anime/32920/Yongshi
9,Yonimo Kimyou na Man☆Gatarou,OVA,8.0,157.0,,,['Comedy'],        Mar 2009 - Apr 2009,https://myanimelist.net/anime/31317/Yonimo_Kimyou_na_Man☆Gatarou
