,name,type,episodes,members,score_members,rating,genre,dates,url
0,Ichigeki Sacchuu!! Hoihoi-san: Legacy,ONA,1.0,907.0,333.0,4.91,"['Comedy', 'Sci-Fi']",        Aug 2012 - Aug 2012,https://myanimelist.net/anime/24847/Ichigeki_Sacchuu_Hoihoi-san__Legacy
1,Kaeru San YuushiThree Brave Frogs,Movie,1.0,493.0,220.0,4.91,"['Adventure', 'Comedy']",        Feb 1933 - Feb 1933,https://myanimelist.net/anime/28051/Kaeru_San_Yuushi
2,Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen,ONA,1.0,388.0,147.0,4.91,"['Horror', 'Seinen', 'Thriller']",        Feb 2018 - Feb 2018,https://myanimelist.net/anime/37243/Kataribe_Jinkou_Chinou_ga_Tsubuyaku_Noroi_no_Yogen
3,Meitantei Gordon,ONA,1.0,487.0,300.0,4.91,"['Mystery', 'Comedy']",        Jun 2006 - Jun 2006,https://myanimelist.net/anime/33693/Meitantei_Gordon
4,NakanaoriReconciliation,ONA,1.0,485.0,259.0,4.91,"['Action', 'Samurai']",        2011 - 2011,https://myanimelist.net/anime/32298/Nakanaori
5,Ushi AtamaOxed-Man,Movie,1.0,292.0,130.0,4.91,['Dementia'],        1968 - 1968,https://myanimelist.net/anime/30326/Ushi_Atama
6,Wakaranai ButaIn a Pig's Eye,Movie,1.0,629.0,306.0,4.91,['Drama'],        2010 - 2010,https://myanimelist.net/anime/9976/Wakaranai_Buta
7,Ame-iro Cocoa: Side G,TV,12.0,6327.0,1762.0,4.9,"['Slice of Life', 'Comedy']",        Jan 2019 - Mar 2019,https://myanimelist.net/anime/37747/Ame-iro_Cocoa__Side_G
8,Chameko no Ichinichi,Movie,1.0,770.0,403.0,4.9,['Comedy'],        1931 - 1931,https://myanimelist.net/anime/6431/Chameko_no_Ichinichi
9,Commercial War,Movie,1.0,366.0,186.0,4.9,['Dementia'],        1971 - 1971,https://myanimelist.net/anime/29988/Commercial_War
10,In Search of Axis,Special,3.0,262.0,161.0,4.9,['Dementia'],        1989 - 1991,https://myanimelist.net/anime/34720/In_Search_of_Axis
11,Jingle,ONA,1.0,565.0,309.0,4.9,['Fantasy'],        Oct 2010 - Oct 2010,https://myanimelist.net/anime/32288/Jingle
12,Lost Utopia,Movie,1.0,909.0,467.0,4.9,"['Action', 'Fantasy', 'Supernatural', 'Music', 'Seinen']",        2007 - 2007,https://myanimelist.net/anime/19213/Lost_Utopia
13,Peaceful Times (F02) Petit Film,Music,1.0,3154.0,1413.0,4.9,['Music'],        Nov 2013 - Nov 2013,https://myanimelist.net/anime/23023/Peaceful_Times_F02_Petit_Film
14,Robot Taekwon VVoltar the Invincible,Movie,1.0,413.0,163.0,4.9,"['Action', 'Mecha']",        Jul 1976 - Jul 1976,https://myanimelist.net/anime/10763/Robot_Taekwon_V
15,Samurai,Movie,1.0,314.0,140.0,4.9,"['Drama', 'Romance']",        1965 - 1965,https://myanimelist.net/anime/29637/Samurai
16,Cherry no Manma,OVA,1.0,1532.0,808.0,4.89,"['Comedy', 'Romance', 'Shoujo']",        Oct 1989 - Oct 1989,https://myanimelist.net/anime/6346/Cherry_no_Manma
17,Choco Kyouju no Oheya,ONA,1.0,582.0,200.0,4.89,['Comedy'],        Apr 2016 - Apr 2016,https://myanimelist.net/anime/34710/Choco_Kyouju_no_Oheya
18,Gunnm 3D Special,OVA,1.0,2391.0,1015.0,4.89,"['Action', 'Sci-Fi', 'Sports']",        Aug 2000 - Aug 2000,https://myanimelist.net/anime/17659/Gunnm_3D_Special
19,Motion Lumine,Movie,1.0,287.0,140.0,4.89,['Dementia'],        1978 - 1978,https://myanimelist.net/anime/30331/Motion_Lumine
20,Nazotokine,TV,12.0,11206.0,3176.0,4.89,['Game'],        Oct 2016 - Dec 2016,https://myanimelist.net/anime/33690/Nazotokine
21,Yomiuri Shimbun,Special,1.0,973.0,344.0,4.89,['Historical'],        Aug 2009 - Aug 2009,https://myanimelist.net/anime/25291/Yomiuri_Shimbun
22,Chicken Papa,ONA,1.0,387.0,210.0,4.88,['Comedy'],        Mar 2010 - Mar 2010,https://myanimelist.net/anime/33859/Chicken_Papa
23,Henna Omamesan,Special,1.0,409.0,227.0,4.88,"['Comedy', 'Parody']",        2014 - 2014,https://myanimelist.net/anime/33545/Henna_Omamesan
24,Norakuro Shoui: Nichiyoubi no Kaijiken2nd Lieutenant Norakuro: Sunday Magic,Movie,1.0,709.0,363.0,4.88,"['Action', 'Military']",        1933 - 1933,https://myanimelist.net/anime/6850/Norakuro_Shoui__Nichiyoubi_no_Kaijiken
25,Tekkon Kinkreet Pilot,Special,1.0,1091.0,431.0,4.88,"['Action', 'Adventure', 'Psychological', 'Supernatural']",        Jan 1999 - Jan 1999,https://myanimelist.net/anime/32247/Tekkon_Kinkreet_Pilot
