,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,IDOLiSH7,,TV,17.0,29630.0,,7.89,['Music'],        Jan 2018 - May 2018,https://myanimelist.net/anime/33899/IDOLiSH7
1,Igano Kabamaru,,TV,24.0,8092.0,,7.9,"['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shounen']",        Oct 1983 - Mar 1984,https://myanimelist.net/anime/2762/Igano_Kabamaru
2,Isekai no Seikishi Monogatari,Tenchi Muyo! War on Geminar,OVA,13.0,140734.0,,7.9,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']",        May 2009 - May 2010,https://myanimelist.net/anime/5781/Isekai_no_Seikishi_Monogatari
3,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Kaleido Star: Legend of Phoenix - The Layla Hamilton Story,OVA,1.0,11903.0,,7.91,"['Comedy', 'Drama', 'Shoujo']",        Dec 2005 - Dec 2005,https://myanimelist.net/anime/429/Kaleido_Star__Legend_of_Phoenix_-_Layla_Hamilton_Monogatari
4,Les Misérables: Shoujo Cosette,,TV,52.0,18446.0,,7.9,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",        Jan 2007 - Dec 2007,https://myanimelist.net/anime/1695/Les_Misérables__Shoujo_Cosette
5,Seto no Hanayome OVA,,OVA,2.0,43359.0,,7.91,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",        Nov 2008 - Jan 2009,https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA
6,Suzumiya Haruhi no Yuuutsu,The Melancholy of Haruhi Suzumiya,TV,14.0,674134.0,,7.91,"['Comedy', 'Mystery', 'Parody', 'School', 'Sci-Fi', 'Slice of Life']",        Apr 2006 - Jul 2006,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu
7,Uchouten Kazoku,The Eccentric Family,TV,13.0,126679.0,,7.91,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']",        Jul 2013 - Sep 2013,https://myanimelist.net/anime/17909/Uchouten_Kazoku
8,Working'!!,Wagnaria!!2,TV,13.0,198125.0,,7.9,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",        Oct 2011 - Dec 2011,https://myanimelist.net/anime/10521/Working
9,Akachan to Boku,Baby and Me,TV,35.0,14969.0,,7.9,"['Comedy', 'Drama', 'Shoujo']",        Jul 1996 - Mar 1997,https://myanimelist.net/anime/1485/Akachan_to_Boku
10,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Clannad ~After Story~: Another World, Kyou Chapter",Special,1.0,200418.0,,7.9,"['Drama', 'Romance', 'School']",        Jul 2009 - Jul 2009,https://myanimelist.net/anime/6351/Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen
11,Detective Conan Movie 01: The Timed Skyscraper,Case Closed The Movie: The Time Bombed Skyscraper,Movie,1.0,47822.0,,7.89,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",        Apr 1997 - Apr 1997,https://myanimelist.net/anime/779/Detective_Conan_Movie_01__The_Timed_Skyscraper
12,Devilman: Crybaby,,ONA,10.0,441871.0,,7.9,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",        Jan 2018 - Jan 2018,https://myanimelist.net/anime/35120/Devilman__Crybaby
13,Eikoku Koi Monogatari Emma: Molders-hen,Emma: A Victorian Romance Season Two,TV,12.0,18792.0,,7.9,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']",        Apr 2007 - Jul 2007,https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen
14,Flanders no Inu (Movie),The Dog of Flanders,Movie,1.0,15630.0,,7.89,"['Drama', 'Historical']",        Mar 1997 - Mar 1997,https://myanimelist.net/anime/2623/Flanders_no_Inu_Movie
15,Gake no Ue no Ponyo,Ponyo,Movie,1.0,286890.0,,7.9,"['Adventure', 'Fantasy']",        Jul 2008 - Jul 2008,https://myanimelist.net/anime/2890/Gake_no_Ue_no_Ponyo
16,Hoozuki no Reitetsu OVA,,OVA,4.0,13118.0,,7.9,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",        Feb 2015 - Mar 2017,https://myanimelist.net/anime/24471/Hoozuki_no_Reitetsu_OVA
17,Magic Kaito 1412,,TV,24.0,83064.0,,7.9,"['Adventure', 'Comedy', 'Romance', 'Shounen']",        Oct 2014 - Mar 2015,https://myanimelist.net/anime/25517/Magic_Kaito_1412
