,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Shiawase no Uta,,Music,1.0,225.0,,5.21,"['Music', 'Historical', 'Kids']",        Oct 1984 - Oct 1984,https://myanimelist.net/anime/30081/Shiawase_no_Uta
1,Sora no Momotarou,Momotaro's Sky Adventure,Movie,1.0,957.0,,5.2,"['Military', 'Adventure', 'Comedy']",        Oct 1931 - Oct 1931,https://myanimelist.net/anime/4390/Sora_no_Momotarou
2,Tokyo Loop,,Movie,1.0,1381.0,,5.21,"['Comedy', 'Dementia']",        Dec 2006 - Dec 2006,https://myanimelist.net/anime/4761/Tokyo_Loop
3,Wanna-Be's,,OVA,1.0,1649.0,,5.2,"['Action', 'Comedy', 'Sports']",        Dec 1986 - Dec 1986,https://myanimelist.net/anime/4176/Wanna-Bes
4,Yi Wan Nian Yi Hou,10000 Years Later,Movie,1.0,602.0,,5.19,['Fantasy'],        Mar 2015 - Mar 2015,https://myanimelist.net/anime/35432/Yi_Wan_Nian_Yi_Hou
5,"""Kiss Dekiru Gyoza"" x Mameshiba Movie",,Special,2.0,298.0,,5.19,"['Comedy', 'Parody']",        Apr 2018 - Apr 2018,https://myanimelist.net/anime/37843/Kiss_Dekiru_Gyoza_x_Mameshiba_Movie
6,Ark IX,Ark Nine,OVA,1.0,7287.0,,5.18,['Action'],        Jul 2013 - Jul 2013,https://myanimelist.net/anime/17395/Ark_IX
7,Blue Remains,,Movie,1.0,650.0,,5.19,"['Adventure', 'Sci-Fi']",        Aug 2001 - Aug 2001,https://myanimelist.net/anime/4733/Blue_Remains
8,Drill,,Movie,1.0,294.0,,5.19,['Dementia'],        1983 - 1983,https://myanimelist.net/anime/31261/Drill
9,"Hope: Suiso Shakai to, Korekara no Energy no Hanashi",,ONA,1.0,324.0,,5.2,['Slice of Life'],        Nov 2014 - Nov 2014,https://myanimelist.net/anime/35975/Hope__Suiso_Shakai_to_Korekara_no_Energy_no_Hanashi
10,Hungry to Win,,ONA,,492.0,,5.17,"['Action', 'Sports']",        Nov 2014 - ,https://myanimelist.net/anime/32831/Hungry_to_Win
11,Jubilee,,Music,1.0,789.0,,5.19,"['Dementia', 'Music']",        1999 - 1999,https://myanimelist.net/anime/11579/Jubilee
12,Karo to Piyobupt: Sandwich,Karo & Piyobupt: The Sandwiches,Movie,1.0,552.0,,5.19,['Comedy'],        1992 - 1992,https://myanimelist.net/anime/7446/Karo_to_Piyobupt__Sandwich
13,Orchestra,,Music,1.0,384.0,,5.19,['Music'],        2008 - 2008,https://myanimelist.net/anime/29946/Orchestra
14,Rudolf to Ippaiattena x Godzilla x Toho Cinemas Moving Logo Eizou,,Movie,1.0,332.0,,5.19,['Comedy'],        Jan 2016 - Jan 2016,https://myanimelist.net/anime/36835/Rudolf_to_Ippaiattena_x_Godzilla_x_Toho_Cinemas_Moving_Logo_Eizou
15,Sin: The Movie,,OVA,1.0,4193.0,,5.18,"['Action', 'Sci-Fi', 'Horror', 'Police', 'Supernatural']",        Oct 2000 - Oct 2000,https://myanimelist.net/anime/2262/Sin__The_Movie
16,Tanjou: Debut,,OVA,2.0,734.0,,5.14,"['Slice of Life', 'Romance', 'Supernatural']",        Oct 1994 - Dec 1994,https://myanimelist.net/anime/3513/Tanjou__Debut
17,TOTO Green Challenge,,ONA,1.0,257.0,,5.19,['Slice of Life'],        Oct 2011 - Oct 2011,https://myanimelist.net/anime/25377/TOTO_Green_Challenge
18,Yodel no Onna,,TV,,928.0,,5.24,"['Music', 'Comedy']",        Sep 2017 - ,https://myanimelist.net/anime/36409/Yodel_no_Onna
19,Ao Oni The Animation,Aooni The Blue Monster,TV,13.0,15301.0,,5.18,"['Comedy', 'Horror']",        Oct 2016 - Jan 2017,https://myanimelist.net/anime/33814/Ao_Oni_The_Animation
20,Bavi Stock,,OVA,2.0,773.0,,5.16,"['Action', 'Sci-Fi', 'Adventure', 'Fantasy']",        Dec 1985 - Nov 1986,https://myanimelist.net/anime/10105/Bavi_Stock
21,Bulsajo Robot Phoenix King,Defenders of Space,Movie,1.0,362.0,,5.19,"['Action', 'Space', 'Mecha', 'Shounen']",        1984 - 1984,https://myanimelist.net/anime/16786/Bulsajo_Robot_Phoenix_King
22,Chiryokumaru,,ONA,1.0,1908.0,,5.17,['Action'],        Nov 2016 - Nov 2016,https://myanimelist.net/anime/34324/Chiryokumaru
23,Chou Shounen Tanteidan Neo,,TV,13.0,2206.0,,5.2,['Mystery'],        Jan 2017 - Mar 2017,https://myanimelist.net/anime/32830/Chou_Shounen_Tanteidan_Neo
24,Computer Haekjeonham Pokpa Daejakjeon,Savior Of The Earth,Movie,1.0,331.0,,5.18,"['Action', 'Sci-Fi', 'Shounen']",        1983 - 1983,https://myanimelist.net/anime/16794/Computer_Haekjeonham_Pokpa_Daejakjeon
25,Eguchi Hisashi no Kotobuki Gorou Show,,OVA,4.0,976.0,,5.17,"['Comedy', 'Parody', 'Ecchi']",        May 1991 - Nov 1991,https://myanimelist.net/anime/20385/Eguchi_Hisashi_no_Kotobuki_Gorou_Show
26,Felix no Meitantei,Detective Felix in Trouble,Movie,1.0,272.0,,5.16,['Mystery'],        1932 - 1932,https://myanimelist.net/anime/35404/Felix_no_Meitantei
27,Futon,,Movie,1.0,631.0,,5.19,"['Music', 'Dementia']",        2012 - 2012,https://myanimelist.net/anime/28639/Futon
28,Go-hiki no Kobuta to Charleston,,Music,1.0,239.0,,5.18,"['Music', 'Kids']",        Aug 1964 - Aug 1964,https://myanimelist.net/anime/24905/Go-hiki_no_Kobuta_to_Charleston
29,Goro-chan,,Music,1.0,293.0,,5.18,"['Kids', 'Music']",        Feb 1990 - Feb 1990,https://myanimelist.net/anime/31695/Goro-chan
30,Kakegae no,,ONA,1.0,325.0,,5.22,['Drama'],        Feb 2012 - Feb 2012,https://myanimelist.net/anime/32291/Kakegae_no
31,Master of Torque,,ONA,4.0,1107.0,,5.17,"['Action', 'Sci-Fi']",        Mar 2014 - Jul 2014,https://myanimelist.net/anime/23387/Master_of_Torque
32,Run=Dim,,TV,13.0,1700.0,,5.16,"['Action', 'Mecha', 'Sci-Fi']",        Apr 2001 - Jun 2001,https://myanimelist.net/anime/2362/Run_Dim
33,Tenbatsu Angel Rabbie☆,,OVA,1.0,1592.0,,5.18,"['Magic', 'Comedy', 'Sci-Fi']",        Jan 2004 - Jan 2004,https://myanimelist.net/anime/681/Tenbatsu_Angel_Rabbie☆
34,Tic Tac Dreamin',Tic Tac Dreamin’,Music,1.0,621.0,,5.2,['Music'],        Apr 2017 - Apr 2017,https://myanimelist.net/anime/36605/Tic_Tac_Dreamin
35,Urmă (Zanzou),,Music,1.0,322.0,,5.19,"['Music', 'Supernatural', 'Vampire']",        Jan 2011 - Jan 2011,https://myanimelist.net/anime/32790/Urmă_Zanzou
36,20-dai no Heya-hen,,Special,1.0,1472.0,,5.17,['Slice of Life'],        Jan 2015 - Jan 2015,https://myanimelist.net/anime/29347/20-dai_no_Heya-hen
37,Een,WAAAH,ONA,1.0,400.0,,5.16,['Dementia'],        Feb 2018 - Feb 2018,https://myanimelist.net/anime/38727/Een
38,Eguchi Hisashi no Nantoka Narudesho!,,OVA,1.0,1036.0,,5.2,"['Parody', 'Shoujo']",        Jan 1990 - Jan 1990,https://myanimelist.net/anime/5554/Eguchi_Hisashi_no_Nantoka_Narudesho
39,Eyedrops Episode 0,,ONA,1.0,301.0,,5.17,['Space'],        Sep 2016 - Sep 2016,https://myanimelist.net/anime/34153/Eyedrops_Episode_0
40,Higenashi Gogejabaru,,Music,1.0,266.0,,5.15,"['Comedy', 'Fantasy', 'Kids', 'Music']",        Jun 1974 - Jun 1974,https://myanimelist.net/anime/21833/Higenashi_Gogejabaru
41,JaJa Uma! Quartet,Wild Cardz,OVA,2.0,1272.0,,5.17,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",        May 1997 - Sep 1997,https://myanimelist.net/anime/1855/JaJa_Uma_Quartet
42,Kimera,,OVA,1.0,5566.0,,5.16,"['Action', 'Horror', 'Sci-Fi', 'Shounen Ai', 'Supernatural', 'Vampire']",        Jul 1996 - Jul 1996,https://myanimelist.net/anime/2592/Kimera
43,Kuma ni Kuwarenu Otoko,The Bear Dodger,Movie,1.0,535.0,,5.17,"['Adventure', 'Music']",        1948 - 1948,https://myanimelist.net/anime/6846/Kuma_ni_Kuwarenu_Otoko
44,Nougyou Musume!,,Special,1.0,1371.0,,5.17,['Comedy'],        Oct 2010 - Oct 2010,https://myanimelist.net/anime/8952/Nougyou_Musume
45,Ooatari Sora no Entaku,The Plane Cabby's Lucky Day,Movie,1.0,823.0,,5.18,['Comedy'],        Oct 1932 - Oct 1932,https://myanimelist.net/anime/4392/Ooatari_Sora_no_Entaku
46,Owari no Chronicle,,Special,1.0,2736.0,,5.16,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",        Apr 2012 - Apr 2012,https://myanimelist.net/anime/13669/Owari_no_Chronicle
47,Pastel Memories,,TV,12.0,14927.0,,5.16,"['Action', 'Sci-Fi', 'Adventure']",        Jan 2019 - Mar 2019,https://myanimelist.net/anime/37374/Pastel_Memories
48,Poker,,Music,1.0,631.0,,5.16,['Music'],        2014 - 2014,https://myanimelist.net/anime/28687/Poker
49,Psychedelic Afternoon,,Music,1.0,905.0,,5.17,['Music'],        Mar 2013 - Mar 2013,https://myanimelist.net/anime/25549/Psychedelic_Afternoon
