,name,type,episodes,members,score_members,rating,genre,dates,url
0,Otogi no Kuni no Birthday,Music,1.0,251.0,121.0,5.28,"['Kids', 'Music']",        Dec 1988 - Dec 1988,https://myanimelist.net/anime/14125/Otogi_no_Kuni_no_Birthday
1,TekkenTekken: The Motion Picture,OVA,2.0,12675.0,8067.0,5.28,"['Action', 'Sci-Fi', 'Adventure', 'Martial Arts']",        Jan 1998 - Feb 1998,https://myanimelist.net/anime/537/Tekken
2,"""Calpis"" Hakkou Monogatari",ONA,1.0,323.0,169.0,5.27,['Historical'],        Apr 2018 - Apr 2018,https://myanimelist.net/anime/38045/Calpis_Hakkou_Monogatari
3,Aoi Chou,Music,1.0,1035.0,636.0,5.27,['Music'],        Nov 2008 - Nov 2008,https://myanimelist.net/anime/6856/Aoi_Chou
4,Carol,OVA,1.0,1021.0,315.0,5.27,"['Fantasy', 'Magic', 'Shoujo']",        Mar 1990 - Mar 1990,https://myanimelist.net/anime/2054/Carol
5,Gene,Music,1.0,191.0,110.0,5.27,['Music'],        Jan 2010 - Jan 2010,https://myanimelist.net/anime/32775/Gene
6,Green Dakara x Bakemono no Ko,ONA,2.0,2843.0,1076.0,5.27,['Music'],        Jun 2015 - Jul 2015,https://myanimelist.net/anime/31108/Green_Dakara_x_Bakemono_no_Ko
7,Han Solo/Star Wars StorySolo: A Star Wars Story,ONA,2.0,303.0,142.0,5.27,['Sci-Fi'],        Oct 2018 - Oct 2018,https://myanimelist.net/anime/38545/Han_Solo_Star_Wars_Story
8,Hand Soap,Movie,1.0,581.0,241.0,5.27,"['Dementia', 'Psychological']",        2008 - 2008,https://myanimelist.net/anime/28993/Hand_Soap
9,Highway Jenny,OVA,1.0,981.0,417.0,5.27,['Fantasy'],        Sep 2006 - Sep 2006,https://myanimelist.net/anime/6181/Highway_Jenny
10,Kimi wa Sou KimetaYou Just Decided,Music,1.0,214.0,113.0,5.27,['Music'],        Nov 2011 - Nov 2011,https://myanimelist.net/anime/30430/Kimi_wa_Sou_Kimeta
11,Majo demo Steady,OVA,1.0,689.0,225.0,5.27,"['Comedy', 'Magic', 'Romance', 'Ecchi']",        Sep 1986 - Sep 1986,https://myanimelist.net/anime/8889/Majo_demo_Steady
12,MILPOM★,ONA,6.0,919.0,272.0,5.27,"['Comedy', 'Shoujo']",        Sep 2015 - Sep 2017,https://myanimelist.net/anime/31471/MILPOM★
13,Oira no SkiMy Ski Trip,Movie,1.0,610.0,294.0,5.27,"['Comedy', 'Sports']",        Mar 1930 - Mar 1930,https://myanimelist.net/anime/23759/Oira_no_Ski
14,Sol Levante,ONA,1.0,7217.0,3088.0,5.27,"['Action', 'Fantasy']",        Apr 2020 - Apr 2020,https://myanimelist.net/anime/40597/Sol_Levante
15,Symphonic Variations,Music,1.0,250.0,128.0,5.27,"['Music', 'Kids']",        Jun 1976 - Jun 1976,https://myanimelist.net/anime/30074/Symphonic_Variations
16,Tentoumushi no OtomuraiLadybirds' Requiem,Movie,1.0,478.0,262.0,5.27,"['Music', 'Dementia']",        2006 - 2006,https://myanimelist.net/anime/12521/Tentoumushi_no_Otomurai
17,Utsukushii HoshiBeautiful Planet,Movie,1.0,272.0,121.0,5.27,['Dementia'],        1974 - 1974,https://myanimelist.net/anime/30330/Utsukushii_Hoshi
18,Violence Jack: Harlem Bomber-henViolence Jack: Slumking,OVA,1.0,8375.0,4055.0,5.26,"['Action', 'Drama', 'Horror']",        Jun 1986 - Jun 1986,https://myanimelist.net/anime/1341/Violence_Jack__Harlem_Bomber-hen
19,Yamaguchi Sanchi no Tsutomu-kun,Music,1.0,231.0,110.0,5.27,"['Music', 'Kids', 'Romance']",        Apr 1976 - Apr 1976,https://myanimelist.net/anime/30165/Yamaguchi_Sanchi_no_Tsutomu-kun
20,Zettai Shougeki: Platonic Heart Picture Drama,Special,4.0,997.0,168.0,5.27,"['Action', 'Ecchi', 'Martial Arts']",        Nov 2008 - Feb 2009,https://myanimelist.net/anime/21215/Zettai_Shougeki__Platonic_Heart_Picture_Drama
21,AgukaruAgriculture Angel BARAKI,ONA,5.0,1272.0,276.0,5.26,"['Magic', 'Supernatural', 'Slice of Life']",        Sep 2010 - Apr 2014,https://myanimelist.net/anime/9689/Agukaru
22,Ano Ko ni 1000%That Girl is 1000%,OVA,1.0,1768.0,895.0,5.26,"['Romance', 'School', 'Shoujo']",        Nov 1989 - Nov 1989,https://myanimelist.net/anime/7475/Ano_Ko_ni_1000
23,Digital Devil Story: Megami Tensei,OVA,1.0,4945.0,2472.0,5.26,"['Adventure', 'Mystery', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Drama', 'Fantasy', 'School']",        Mar 1987 - Mar 1987,https://myanimelist.net/anime/2983/Digital_Devil_Story__Megami_Tensei
24,High & Low: G-Sword,TV,5.0,416.0,136.0,5.26,"['Action', 'Drama', 'Shounen']",        Mar 2017 - Mar 2017,https://myanimelist.net/anime/35156/High___Low__G-Sword
25,Koro wa Yane no Ue,Music,1.0,245.0,130.0,5.26,"['Music', 'Kids']",        Dec 1986 - Dec 1986,https://myanimelist.net/anime/30077/Koro_wa_Yane_no_Ue
26,Mononoke Dance,Music,1.0,949.0,504.0,5.26,"['Music', 'Dementia']",        Apr 2008 - Apr 2008,https://myanimelist.net/anime/10584/Mononoke_Dance
27,Nandarou,Special,1.0,2437.0,1221.0,5.26,['Comedy'],        Nov 1992 - Nov 1992,https://myanimelist.net/anime/2897/Nandarou
