,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Saiki Kusuo no Ψ-nan,The Disastrous Life of Saiki K.,TV,120.0,387580.0,,8.49,"['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",        Jul 2016 - Dec 2016,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
1,Shingeki no Kyojin Season 3,Attack on Titan Season 3,TV,12.0,766994.0,,8.5,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",        Jul 2018 - Oct 2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
2,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,anohana: The Flower We Saw That Day,TV,11.0,943606.0,,8.47,"['Slice of Life', 'Supernatural', 'Drama']",        Apr 2011 - Jun 2011,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
3,Kenpuu Denki Berserk,Berserk,TV,25.0,383703.0,,8.48,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",        Oct 1997 - Apr 1998,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
4,Major S5,,TV,25.0,50788.0,,8.48,"['Comedy', 'Drama', 'Romance', 'Shounen', 'Sports']",        Jan 2009 - Jun 2009,https://myanimelist.net/anime/5028/Major_S5
5,Mushishi Zoku Shou: Odoro no Michi,Mushishi Path of Thorns,Special,1.0,68454.0,,8.48,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",        Aug 2014 - Aug 2014,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
6,One Piece,,TV,,1058799.0,,8.48,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",        Oct 1999 - ,https://myanimelist.net/anime/21/One_Piece
7,Cross Game,,TV,50.0,91202.0,,8.46,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",        Apr 2009 - Mar 2010,https://myanimelist.net/anime/5941/Cross_Game
8,Usagi Drop,Bunny Drop,TV,11.0,351294.0,,8.46,"['Josei', 'Slice of Life']",        Jul 2011 - Sep 2011,https://myanimelist.net/anime/10162/Usagi_Drop
9,Chihayafuru 2,,TV,25.0,161233.0,,8.46,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']",        Jan 2013 - Jun 2013,https://myanimelist.net/anime/14397/Chihayafuru_2
10,Kara no Kyoukai 7: Satsujin Kousatsu (Go),the Garden of sinners Chapter 7: Murder Speculation Part B,Movie,1.0,150198.0,,8.46,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",        Aug 2009 - Aug 2009,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go
11,Kiseijuu: Sei no Kakuritsu,Parasyte -the maxim-,TV,24.0,1004065.0,,8.45,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Drama', 'Seinen']",        Oct 2014 - Mar 2015,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
