,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Pochacco no Jack to Mame no Ki,Pochacco in Jack and the Beanstalk,OVA,1.0,227.0,,,"['Kids', 'Fantasy']",        Jul 2001 - Jul 2001,https://myanimelist.net/anime/22493/Pochacco_no_Jack_to_Mame_no_Ki
1,Pochacco no Ninjin Hata wa Oosawagi,Pochacco in The Excitement at the Carrot Patch,OVA,1.0,182.0,,,"['Fantasy', 'Kids']",        Nov 1993 - Nov 1993,https://myanimelist.net/anime/22623/Pochacco_no_Ninjin_Hata_wa_Oosawagi
2,Pochacco no Wakuwaku Birthday,Pochacco in Exciting Birthday,OVA,1.0,186.0,,,"['Fantasy', 'Kids']",        Oct 1993 - Oct 1993,https://myanimelist.net/anime/22617/Pochacco_no_Wakuwaku_Birthday
3,Pochitto Hatsumei: Pikachin-Kit,,ONA,1.0,140.0,,,"['Comedy', 'Kids']",        Dec 2017 - Dec 2017,https://myanimelist.net/anime/36947/Pochitto_Hatsumei__Pikachin-Kit
4,Poka Poka Mori no Rascal,,TV,52.0,229.0,,,['Kids'],        Apr 2006 - Mar 2007,https://myanimelist.net/anime/17613/Poka_Poka_Mori_no_Rascal
5,Pokke,,Music,1.0,62.0,,,"['Kids', 'Music']",        Oct 2015 - Oct 2015,https://myanimelist.net/anime/40612/Pokke
6,Pokopon no Kitsune-gawa Onsen Henshin Gassen,,OVA,1.0,104.0,,,"['Kids', 'Supernatural']",        Jun 1993 - Jun 1993,https://myanimelist.net/anime/35034/Pokopon_no_Kitsune-gawa_Onsen_Henshin_Gassen
7,Pokopon no Satogaeri,,OVA,1.0,89.0,,,['Kids'],        May 1993 - May 1993,https://myanimelist.net/anime/35037/Pokopon_no_Satogaeri
8,Pokopon no Yukai na Saiyuuki,,Movie,1.0,141.0,,,"['Adventure', 'Fantasy', 'Kids', 'Magic', 'Martial Arts']",        Jul 1990 - Jul 1990,https://myanimelist.net/anime/32621/Pokopon_no_Yukai_na_Saiyuuki
9,Pom Pom Purin no Kitakaze to Taiyou,Pom Pom Purin in the Northwind and the Sun,OVA,1.0,207.0,,,"['Kids', 'Fantasy']",        Dec 2001 - Dec 2001,https://myanimelist.net/anime/22577/Pom_Pom_Purin_no_Kitakaze_to_Taiyou
