,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Shura ga Yuku,,OVA,2.0,195.0,,,"['Drama', 'Seinen']",        Dec 1994 - May 1995,https://myanimelist.net/anime/24085/Shura_ga_Yuku
1,Shutter Chance,,OVA,1.0,106.0,,,"['Drama', 'Kids']",        1999 - 1999,https://myanimelist.net/anime/30982/Shutter_Chance
2,Shuuen no Shiori,Bookmark of Demise,Music,1.0,101.0,,,"['Music', 'Mystery', 'Supernatural', 'School']",        Aug 2013 - Aug 2013,https://myanimelist.net/anime/39766/Shuuen_no_Shiori
3,Shuugou no Kangae,,Movie,1.0,146.0,,,"['Dementia', 'Kids']",        1969 - 1969,https://myanimelist.net/anime/32226/Shuugou_no_Kangae
4,Shuukan Shimakou,Weekly Shimako,TV,11.0,448.0,,,['Comedy'],        Apr 2011 - Jun 2011,https://myanimelist.net/anime/10541/Shuukan_Shimakou
5,Shuukan Shimakou Special,,ONA,1.0,216.0,,,['Comedy'],        Jan 2011 - Jan 2011,https://myanimelist.net/anime/11611/Shuukan_Shimakou_Special
6,Shuukan Storyland,,TV,56.0,378.0,,,"['Slice of Life', 'Comedy', 'Drama', 'Seinen']",        Oct 1999 - Sep 2001,https://myanimelist.net/anime/13551/Shuukan_Storyland
7,Shuuseki Life,,Music,1.0,80.0,,,['Music'],        2012 - 2012,https://myanimelist.net/anime/39544/Shuuseki_Life
8,Si Hai Jing Qi,,ONA,12.0,216.0,,,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Military', 'Mystery']",        Aug 2018 - Nov 2018,https://myanimelist.net/anime/38690/Si_Hai_Jing_Qi
9,Si Ling Bianma: Zhi Shijie Caozong Zhe Recap,Order Designer Recap,ONA,1.0,226.0,,,[],        May 2014 - May 2014,https://myanimelist.net/anime/35623/Si_Ling_Bianma__Zhi_Shijie_Caozong_Zhe_Recap
10,Sigh,,Music,1.0,145.0,,,['Music'],        May 2014 - May 2014,https://myanimelist.net/anime/35514/Sigh
11,Silk Road Shounen Yuuto,,TV,26.0,426.0,,,"['Adventure', 'Fantasy', 'Historical']",        Sep 2006 - Mar 2007,https://myanimelist.net/anime/1863/Silk_Road_Shounen_Yuuto
12,Silk Road Shounen Yuuto: Toki wo Kakeru Shounen Yuuto no Hyouryuu Nikki,,Special,1.0,153.0,,,"['Adventure', 'Fantasy', 'Historical']",        Jan 2007 - Jan 2007,https://myanimelist.net/anime/32369/Silk_Road_Shounen_Yuuto__Toki_wo_Kakeru_Shounen_Yuuto_no_Hyouryuu_Nikki
13,Sinbad: Soratobu Hime to Himitsu no Shima Pilot,,Special,1.0,397.0,,,['Adventure'],        Dec 2015 - Dec 2015,https://myanimelist.net/anime/32609/Sinbad__Soratobu_Hime_to_Himitsu_no_Shima_Pilot
14,Sinbi Apateu: Ghost Ball Bimil,The Haunted House: The Secret of the Ghost Ball,TV,24.0,217.0,,,"['Action', 'Mystery', 'Kids']",        Jul 2016 - Jan 2017,https://myanimelist.net/anime/38923/Sinbi_Apateu__Ghost_Ball_Bimil
15,Sinbi Apateu: Ghost Ball X-ui Tansaeng,,TV,23.0,101.0,,,[],        Nov 2017 - Jan 2019,https://myanimelist.net/anime/40090/Sinbi_Apateu__Ghost_Ball_X-ui_Tansaeng
16,Sizq,,Music,1.0,93.0,,,"['Dementia', 'Music']",        Jul 2015 - Jul 2015,https://myanimelist.net/anime/40000/Sizq
17,Sketch,,ONA,1.0,142.0,,,['Music'],        Jun 2012 - Jun 2012,https://myanimelist.net/anime/37930/Sketch
18,Skyers 5,,TV,12.0,327.0,,,"['Action', 'Sci-Fi']",        Oct 1967 - Dec 1967,https://myanimelist.net/anime/11405/Skyers_5
19,Skyers 5 EX,,Special,3.0,56.0,,,"['Action', 'Sci-Fi', 'Shounen']",        Apr 2015 - Apr 2015,https://myanimelist.net/anime/39778/Skyers_5_EX
20,Sleeping Beauty,,Music,1.0,121.0,,,['Music'],        Jul 2018 - Jul 2018,https://myanimelist.net/anime/38267/Sleeping_Beauty
21,Slide,,ONA,1.0,189.0,,,"['Music', 'Sports']",        Jul 2017 - Jul 2017,https://myanimelist.net/anime/37775/Slide
22,Slippy Dandy,,TV,4.0,138.0,,,"['Action', 'Kids', 'Mystery']",        Aug 1987 - Sep 1987,https://myanimelist.net/anime/28019/Slippy_Dandy
23,Smile,,Music,1.0,65.0,,,"['Kids', 'Music']",        Jun 1993 - Jun 1993,https://myanimelist.net/anime/40527/Smile
24,Smileflower,,Music,1.0,61.0,,,"['Kids', 'Music']",        Jun 2011 - Jun 2011,https://myanimelist.net/anime/40468/Smileflower
25,Snowdrop,,Music,1.0,85.0,,,"['Music', 'Kids']",        Dec 2004 - Dec 2004,https://myanimelist.net/anime/36355/Snowdrop
26,SNS Police,,ONA,24.0,290.0,,,['Police'],        Mar 2018 - May 2018,https://myanimelist.net/anime/36623/SNS_Police
27,So Long!,,Music,1.0,113.0,,,['Music'],        May 2013 - May 2013,https://myanimelist.net/anime/37604/So_Long
28,So-na-gi,The Shower,Movie,1.0,122.0,,,"['Drama', 'Romance']",        Aug 2017 - Aug 2017,https://myanimelist.net/anime/39364/So-na-gi
29,Soba Dokan,,Special,1.0,35.0,,,"['Comedy', 'Parody', 'Mecha']",        Mar 2009 - Mar 2009,https://myanimelist.net/anime/41113/Soba_Dokan
30,Soba no Hana Saita Hi,,OVA,1.0,113.0,,,"['Drama', 'Kids']",        2000 - 2000,https://myanimelist.net/anime/26321/Soba_no_Hana_Saita_Hi
31,Sobakasu Pucchi,,TV,162.0,205.0,,,"['Adventure', 'Comedy', 'Kids']",        Mar 1969 - Oct 1969,https://myanimelist.net/anime/19999/Sobakasu_Pucchi
32,Soccer Fever,,TV,51.0,437.0,,,"['Historical', 'Sports']",        Apr 1994 - Apr 1995,https://myanimelist.net/anime/10774/Soccer_Fever
33,Socket,,OVA,1.0,242.0,,,['Kids'],        2009 - 2009,https://myanimelist.net/anime/7416/Socket
34,Sockies: Frontier Quest,,TV,39.0,228.0,,,['Comedy'],        Apr 2011 - Feb 2012,https://myanimelist.net/anime/8143/Sockies__Frontier_Quest
35,Sofy Soft Tampon: Drive Ryokou-hen,,Special,1.0,176.0,,,['Slice of Life'],        Jul 2018 - Jul 2018,https://myanimelist.net/anime/38493/Sofy_Soft_Tampon__Drive_Ryokou-hen
36,Sokkuri House,,Music,1.0,91.0,,,"['Kids', 'Music']",        Oct 2002 - Oct 2002,https://myanimelist.net/anime/38307/Sokkuri_House
37,Solar I.II.III,,Movie,1.0,235.0,,,"['Action', 'Mecha', 'Shounen']",        Dec 1982 - Dec 1982,https://myanimelist.net/anime/16804/Solar_IIIIII
38,Somei-ka no Hi no Youjin: Bouka no Tebiki Katei-hen,,OVA,1.0,100.0,,,"['Drama', 'Kids']",        1996 - 1996,https://myanimelist.net/anime/28573/Somei-ka_no_Hi_no_Youjin__Bouka_no_Tebiki_Katei-hen
39,Something Great Chizu ni Nai Machi,,Movie,1.0,229.0,,,['Slice of Life'],        Feb 2006 - Feb 2006,https://myanimelist.net/anime/23979/Something_Great_Chizu_ni_Nai_Machi
40,Son Gokuu no Hi no Youjin,,OVA,1.0,147.0,,,"['Drama', 'Fantasy', 'Kids']",        2010 - 2010,https://myanimelist.net/anime/28555/Son_Gokuu_no_Hi_no_Youjin
41,Son Gokuu no Koutsuu Rule Shugyou Chuu,,OVA,1.0,110.0,,,"['Drama', 'Fantasy', 'Kids']",        2005 - 2005,https://myanimelist.net/anime/30933/Son_Gokuu_no_Koutsuu_Rule_Shugyou_Chuu
42,Son Gokuu Silk Road wo Tobu!!,,Special,1.0,198.0,,,"['Adventure', 'Fantasy']",        Jun 1982 - Jun 1982,https://myanimelist.net/anime/24669/Son_Gokuu_Silk_Road_wo_Tobu
43,Son O-gong gwa Byeoldeul-ui Jeonjaeng,,Movie,1.0,217.0,,,"['Action', 'Adventure', 'Space']",        1978 - 1978,https://myanimelist.net/anime/16814/Son_O-gong_gwa_Byeoldeul-ui_Jeonjaeng
44,Sonna Boku ga Suki,,Music,1.0,164.0,,,"['Music', 'Kids']",        Dec 1991 - Dec 1991,https://myanimelist.net/anime/30082/Sonna_Boku_ga_Suki
45,Sonna Yoru,,Music,1.0,50.0,,,['Music'],        Mar 2017 - Mar 2017,https://myanimelist.net/anime/41534/Sonna_Yoru
46,"Sono Toki, Shimakou ga Ugoita!",At that time Mr. Shimakoh moved!,TV,11.0,276.0,,,['Comedy'],        Jun 2011 - Sep 2011,https://myanimelist.net/anime/11609/Sono_Toki_Shimakou_ga_Ugoita
47,Sonoda,,ONA,1.0,259.0,,,['Slice of Life'],        Jul 2019 - Jul 2019,https://myanimelist.net/anime/40163/Sonoda
48,Sonotoki Kimi wa?: Ryouta to Pikari no Jishin Bousai Gaku,,OVA,1.0,37.0,,,['Kids'],        1995 - 1995,https://myanimelist.net/anime/39507/Sonotoki_Kimi_wa__Ryouta_to_Pikari_no_Jishin_Bousai_Gaku
49,Sonyeon 007 Eunhateukgongdae,,Movie,1.0,168.0,,,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",        1980 - 1980,https://myanimelist.net/anime/18283/Sonyeon_007_Eunhateukgongdae
