,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Urameshi Denwa,,Movie,1.0,212.0,,,"['Comedy', 'Kids']",        1975 - 1975,https://myanimelist.net/anime/29800/Urameshi_Denwa
1,Urashima Tarou (1952),,Movie,1.0,245.0,,,['Historical'],        1952 - 1952,https://myanimelist.net/anime/30973/Urashima_Tarou_1952
2,Urashimasakatasen no Nichijou Special,,Special,1.0,320.0,,,"['Slice of Life', 'Comedy']",        Feb 2020 - Feb 2020,https://myanimelist.net/anime/40921/Urashimasakatasen_no_Nichijou_Special
3,Urban Caravan,,Music,1.0,80.0,,,['Music'],        Sep 2016 - Sep 2016,https://myanimelist.net/anime/40255/Urban_Caravan
4,Uriko-hime to Amanojaku,,Movie,1.0,221.0,,,['Demons'],        1956 - 1956,https://myanimelist.net/anime/29917/Uriko-hime_to_Amanojaku
5,Urikupen Kyuujo-tai,Urikupen Rescue Team,TV,156.0,293.0,,,"['Adventure', 'Comedy', 'Kids']",        Sep 1974 - Mar 1975,https://myanimelist.net/anime/4598/Urikupen_Kyuujo-tai
6,Usa Weather Show,,Special,1.0,208.0,,,['Slice of Life'],        Jun 2018 - Jun 2018,https://myanimelist.net/anime/38353/Usa_Weather_Show
7,Usagi no Matthew,Matthew the Rabbit,TV,52.0,581.0,,,['Slice of Life'],        Apr 2018 - Apr 2019,https://myanimelist.net/anime/37467/Usagi_no_Matthew
8,Usagi no Mofy,,ONA,13.0,276.0,,,['Kids'],        Sep 2012 - Dec 2012,https://myanimelist.net/anime/21713/Usagi_no_Mofy
9,Usagi no Mofy (TV 2014),,TV,26.0,47.0,,,['Kids'],        Sep 2014 - Mar 2015,https://myanimelist.net/anime/40671/Usagi_no_Mofy_TV_2014
10,Usagi no Mofy (TV 2016),,TV,26.0,43.0,,,['Kids'],        Jan 2016 - Mar 2017,https://myanimelist.net/anime/40672/Usagi_no_Mofy_TV_2016
11,Usagi no Mofy (TV),,TV,26.0,50.0,,,['Kids'],        Dec 2012 - Mar 2013,https://myanimelist.net/anime/40670/Usagi_no_Mofy_TV
12,Usagi to Kame (Music),,Music,1.0,207.0,,,['Music'],        Oct 2011 - Oct 2011,https://myanimelist.net/anime/29153/Usagi_to_Kame_Music
