,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,School Days ONA,,ONA,1.0,28955.0,,6.03,"['Romance', 'School', 'Drama']",        Feb 2005 - Feb 2005,https://myanimelist.net/anime/756/School_Days_ONA
1,Scratch x One Piece Film: Gold,,Special,1.0,3727.0,,6.07,"['Fantasy', 'Shounen']",        2016 - 2016,https://myanimelist.net/anime/36240/Scratch_x_One_Piece_Film__Gold
2,Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,,OVA,1.0,1810.0,,6.03,"['Adventure', 'Drama', 'Fantasy', 'Shounen']",        Feb 2004 - Feb 2004,https://myanimelist.net/anime/1099/Shadow_Skill__Kurudaryuu_Kousatsuhou_no_Himitsu
3,Shima Shima Tora no Shimajirou,,TV,726.0,476.0,,6.03,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Magic']",        Dec 1993 - Mar 2008,https://myanimelist.net/anime/9768/Shima_Shima_Tora_no_Shimajirou
4,Shoka,,Special,1.0,4380.0,,6.03,"['Action', 'Fantasy', 'Historical']",        Mar 2010 - Mar 2010,https://myanimelist.net/anime/8337/Shoka
5,Sister,,Music,1.0,249.0,,6.03,['Music'],        Dec 2016 - Dec 2016,https://myanimelist.net/anime/39174/Sister
6,Suntory Minami Alps no Tennensui,,Special,3.0,10574.0,,6.04,"['Drama', 'School']",        Aug 2016 - Aug 2016,https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennensui
7,TOHO Cinemas x One Piece Film: Gold - Tokubetsu Eizou,,ONA,1.0,2473.0,,6.05,"['Fantasy', 'Shounen']",        Feb 2016 - Feb 2016,https://myanimelist.net/anime/36242/TOHO_Cinemas_x_One_Piece_Film__Gold_-_Tokubetsu_Eizou
8,"Umi no Yami, Tsuki no Kage","Darkness of the Sea, Shadow of the Moon",OVA,3.0,1102.0,,6.03,"['Horror', 'Super Power', 'Drama', 'Romance', 'Shoujo']",        Oct 1989 - Oct 1989,https://myanimelist.net/anime/4484/Umi_no_Yami_Tsuki_no_Kage
9,Vivi,,Music,1.0,564.0,,6.01,"['Adventure', 'Music', 'Romance', 'Fantasy']",        Mar 2012 - Mar 2012,https://myanimelist.net/anime/30909/Vivi
10,Wangpai Yushi Di 0 Ji,,ONA,1.0,974.0,,6.03,"['Comedy', 'Fantasy', 'School', 'Shounen', 'Supernatural']",        2014 - 2014,https://myanimelist.net/anime/30166/Wangpai_Yushi_Di_0_Ji
11,Wind: A Breath of Heart (TV),,TV,13.0,9738.0,,6.02,"['Drama', 'Romance', 'School', 'Supernatural']",        Jun 2004 - Sep 2004,https://myanimelist.net/anime/546/Wind__A_Breath_of_Heart_TV
12,Bannou Yasai Ninninman,,Movie,1.0,4565.0,,6.02,"['Comedy', 'Supernatural']",        Mar 2011 - Mar 2011,https://myanimelist.net/anime/10501/Bannou_Yasai_Ninninman
13,Busou Renkin: Mahiro no Busou Renkin Kouza,,Special,11.0,859.0,,6.02,['Comedy'],        Jan 2007 - Sep 2007,https://myanimelist.net/anime/39316/Busou_Renkin__Mahiro_no_Busou_Renkin_Kouza
14,Chain Chronicle: Short Animation,,OVA,8.0,8364.0,,6.01,"['Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen']",        Sep 2014 - Dec 2014,https://myanimelist.net/anime/25431/Chain_Chronicle__Short_Animation
15,Children,,ONA,1.0,749.0,,6.02,"['Dementia', 'Psychological', 'Drama']",        Jun 2011 - Jun 2011,https://myanimelist.net/anime/39290/Children
16,Detatoko Princess,Suddenly Princess,OVA,3.0,2414.0,,6.02,"['Comedy', 'Fantasy']",        Dec 1997 - May 1998,https://myanimelist.net/anime/2693/Detatoko_Princess
17,Donyatsu,,Movie,12.0,3712.0,,6.02,"['Comedy', 'Sci-Fi', 'Seinen']",        Jun 2013 - Dec 2013,https://myanimelist.net/anime/18755/Donyatsu
18,Flying Witch Petit,,ONA,9.0,12779.0,,6.02,"['Slice of Life', 'Comedy', 'Supernatural']",        Mar 2016 - Jun 2016,https://myanimelist.net/anime/32954/Flying_Witch_Petit
19,Gall Force: The Revolution,,OVA,4.0,1230.0,,6.02,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Mecha']",        Oct 1996 - Mar 1997,https://myanimelist.net/anime/2066/Gall_Force__The_Revolution
20,Gensou Jotan Ellcia,Ellcia,OVA,4.0,1763.0,,6.02,"['Adventure', 'Fantasy']",        Oct 1992 - Sep 1993,https://myanimelist.net/anime/3461/Gensou_Jotan_Ellcia
21,Girl Electric,,Music,1.0,353.0,,6.02,['Music'],        Aug 2016 - Aug 2016,https://myanimelist.net/anime/35554/Girl_Electric
22,Itsudatte My Santa!,,OVA,2.0,11025.0,,6.01,"['Ecchi', 'Fantasy', 'Romance', 'Comedy', 'Shounen']",        Dec 2005 - Dec 2005,https://myanimelist.net/anime/588/Itsudatte_My_Santa
23,Kaitouranma The Animation,Samurai: Hunt for the Sword,OVA,2.0,1956.0,,6.02,"['Action', 'Adventure', 'Martial Arts', 'Samurai']",        Nov 1999 - Dec 1999,https://myanimelist.net/anime/2483/Kaitouranma_The_Animation
24,Kerokko Demetan,Adventures On Rainbow Pond,TV,39.0,870.0,,6.07,"['Kids', 'Fantasy', 'Comedy']",        Jan 1973 - Sep 1973,https://myanimelist.net/anime/307/Kerokko_Demetan
25,Lime-iro Senkitan,,TV,13.0,8526.0,,6.01,"['Drama', 'Ecchi', 'Harem', 'Historical', 'Mecha', 'Supernatural']",        Jan 2003 - Mar 2003,https://myanimelist.net/anime/1097/Lime-iro_Senkitan
26,Märchen Mädchen Specials,Maerchen Maedchen,Special,2.0,4642.0,,6.02,"['Magic', 'Fantasy', 'School']",        Apr 2019 - Apr 2019,https://myanimelist.net/anime/37973/Märchen_Mädchen_Specials
27,Mitsu x Mitsu Drops,Honey x Honey Drops,OVA,2.0,21782.0,,6.01,"['Drama', 'Romance', 'School', 'Shoujo']",        Apr 2006 - Jul 2006,https://myanimelist.net/anime/1838/Mitsu_x_Mitsu_Drops
28,Najica Dengeki Sakusen,Najica Blitz Tactics,TV,12.0,12135.0,,6.02,"['Action', 'Ecchi', 'Comedy', 'Sci-Fi']",        Oct 2001 - Dec 2001,https://myanimelist.net/anime/321/Najica_Dengeki_Sakusen
29,Natsufuku no Shoujo-tachi,,Special,1.0,715.0,,6.05,"['Drama', 'Historical']",        Aug 1988 - Aug 1988,https://myanimelist.net/anime/8896/Natsufuku_no_Shoujo-tachi
