,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Cike Wu Liuqi,Scissor Seven,ONA,10.0,6422.0,,7.87,"['Action', 'Comedy', 'Drama', 'Martial Arts', 'Mystery', 'Romance', 'Super Power']",        Apr 2018 - Jun 2018,https://myanimelist.net/anime/38409/Cike_Wu_Liuqi
1,Fairy Tail (2014),Fairy Tail Series 2,TV,102.0,597086.0,,7.85,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",        Apr 2014 - Mar 2016,https://myanimelist.net/anime/22043/Fairy_Tail_2014
2,Gochuumon wa Usagi Desu ka??,Is the Order a Rabbit??,TV,12.0,86287.0,,7.86,"['Slice of Life', 'Comedy']",        Oct 2015 - Dec 2015,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_Desu_ka
3,Goku Sayonara Zetsubou Sensei,Goodbye Mr. Despair OAD,OVA,3.0,53430.0,,7.87,"['Comedy', 'Parody', 'School', 'Shounen']",        Oct 2008 - Feb 2009,https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei
4,Higashi no Eden,Eden of The East,TV,11.0,416571.0,,7.86,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']",        Apr 2009 - Jun 2009,https://myanimelist.net/anime/5630/Higashi_no_Eden
5,Jormungand,,TV,12.0,240347.0,,7.87,"['Action', 'Adventure', 'Seinen']",        Apr 2012 - Jun 2012,https://myanimelist.net/anime/12413/Jormungand
6,Kokoro Connect,,TV,13.0,538843.0,,7.86,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",        Jul 2012 - Sep 2012,https://myanimelist.net/anime/11887/Kokoro_Connect
7,Ramayana: The Legend of Prince Rama,,Movie,1.0,1997.0,,7.88,['Adventure'],        Mar 1992 - Mar 1992,https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama
8,Saint☆Oniisan (Movie),Saint☆Young Men (Movie),Movie,1.0,60322.0,,7.87,"['Comedy', 'Seinen', 'Slice of Life']",        May 2013 - May 2013,https://myanimelist.net/anime/15771/Saint☆Oniisan_Movie
9,Somali to Mori no Kamisama,Somali and the Forest Spirit,TV,12.0,143928.0,,7.87,"['Adventure', 'Demons', 'Drama', 'Fantasy', 'Slice of Life']",        Jan 2020 - Mar 2020,https://myanimelist.net/anime/39575/Somali_to_Mori_no_Kamisama
10,Bishoujo Senshi Sailor Moon S,Sailor Moon S,TV,38.0,99464.0,,7.86,"['Drama', 'Magic', 'Romance', 'Shoujo']",        Mar 1994 - Feb 1995,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
11,Break Blade 5: Shisen no Hate,Broken Blade 5,Movie,1.0,49620.0,,7.86,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",        Jan 2011 - Jan 2011,https://myanimelist.net/anime/9724/Break_Blade_5__Shisen_no_Hate
12,Detective Conan Movie 08: Time Travel of the Silver Sky,,Special,1.0,14134.0,,7.86,"['Adventure', 'Mystery']",        Apr 2004 - Apr 2004,https://myanimelist.net/anime/7304/Detective_Conan_Movie_08__Time_Travel_of_the_Silver_Sky
