,name,type,episodes,members,score_members,rating,genre,dates,url
0,Kurai MiraiDark Future,OVA,2.0,2844.0,949.0,5.86,['Hentai'],        Jan 2006 - Sep 2006,https://myanimelist.net/anime/3034/Kurai_Mirai
1,Kuro no DanshouMystery of the Necronomicon,OVA,4.0,2059.0,733.0,5.85,"['Hentai', 'Horror']",        Oct 1999 - Sep 2000,https://myanimelist.net/anime/220/Kuro_no_Danshou
2,Miyazaki Maya Daizukan,OVA,2.0,3114.0,948.0,5.86,['Hentai'],        Nov 2010 - Feb 2011,https://myanimelist.net/anime/9599/Miyazaki_Maya_Daizukan
3,Tonari no OneesanGirl Next Door,OVA,2.0,2634.0,826.0,5.86,"['Comedy', 'Hentai']",        Jul 2000 - Oct 2000,https://myanimelist.net/anime/2540/Tonari_no_Oneesan
4,Toushin Toshi IITournament of the Gods: Title Match,OVA,3.0,1025.0,321.0,5.84,"['Adventure', 'Fantasy', 'Hentai', 'Romance']",        Dec 1997 - Jun 1998,https://myanimelist.net/anime/2838/Toushin_Toshi_II
5,Words Worth Gaiden,OVA,2.0,3422.0,1342.0,5.87,"['Action', 'Adventure', 'Fantasy', 'Hentai']",        Jul 2002 - Sep 2002,https://myanimelist.net/anime/2185/Words_Worth_Gaiden
6,21-ji no Onna: Newscaster Katsuragi Miki,OVA,3.0,3225.0,1257.0,5.85,['Hentai'],        Apr 2001 - Nov 2001,https://myanimelist.net/anime/2863/21-ji_no_Onna__Newscaster_Katsuragi_Miki
7,Okusama wa MahoutsukaiEnspelled,OVA,2.0,2425.0,849.0,5.86,['Hentai'],        Dec 2006 - Mar 2007,https://myanimelist.net/anime/2957/Okusama_wa_Mahoutsukai
8,Onna Kyoushi Yumi no HoukagoHot for Teacher,OVA,2.0,3240.0,1039.0,5.85,['Hentai'],        Aug 2003 - Nov 2003,https://myanimelist.net/anime/2532/Onna_Kyoushi_Yumi_no_Houkago
9,Ooedo Forty Eight,OVA,3.0,993.0,296.0,5.85,"['Hentai', 'Historical']",        Sep 2007 - Feb 2008,https://myanimelist.net/anime/5439/Ooedo_Forty_Eight
10,Otome Dori,OVA,2.0,13737.0,6094.0,5.85,['Hentai'],        May 2012 - Sep 2012,https://myanimelist.net/anime/12059/Otome_Dori
11,Haha SangeStep MILF,OVA,2.0,4089.0,1498.0,5.84,['Hentai'],        Feb 2010 - May 2010,https://myanimelist.net/anime/7612/Haha_Sange
12,Ikusa Otome Suvia Special,Special,1.0,2091.0,703.0,5.84,"['Hentai', 'Fantasy']",        Feb 2010 - Feb 2010,https://myanimelist.net/anime/9091/Ikusa_Otome_Suvia_Special
13,Kyouhaku: Owaranai AshitaThe Blackmail: Tomorrow Never Ends,OVA,3.0,2539.0,908.0,5.84,['Hentai'],        Jan 2000 - Jun 2000,https://myanimelist.net/anime/2327/Kyouhaku__Owaranai_Ashita
14,Shiroki Tenshi-tachi no RondoHardcore Hospital,OVA,2.0,2010.0,659.0,5.85,['Hentai'],        Oct 2002 - Dec 2002,https://myanimelist.net/anime/3046/Shiroki_Tenshi-tachi_no_Rondo
15,UnbalanceSibling Secret: She's the Twisted Sister,OVA,3.0,2046.0,648.0,5.83,['Hentai'],        Jun 2002 - Dec 2002,https://myanimelist.net/anime/1770/Unbalance
16,Fighting of Ecstasy,OVA,2.0,3028.0,1079.0,5.83,['Hentai'],        Feb 2011 - Apr 2011,https://myanimelist.net/anime/9434/Fighting_of_Ecstasy
17,Tenkousei,OVA,4.0,639.0,160.0,5.83,['Hentai'],        Mar 1996 - Jan 1997,https://myanimelist.net/anime/4825/Tenkousei
18,Doukyuusei 2 (OVA)End of Summer 2,OVA,12.0,1168.0,255.0,5.82,['Hentai'],        Mar 1996 - Dec 1996,https://myanimelist.net/anime/4842/Doukyuusei_2_OVA
19,Dousou Kai Again,OVA,2.0,1771.0,583.0,5.81,['Hentai'],        Jul 2002 - Dec 2002,https://myanimelist.net/anime/2007/Dousou_Kai_Again
20,Haitoku no ShoujoFamily of Debauchery,OVA,2.0,2627.0,941.0,5.81,"['Hentai', 'Psychological']",        Sep 2001 - Jan 2002,https://myanimelist.net/anime/3411/Haitoku_no_Shoujo
21,I☆Can,OVA,3.0,6569.0,2550.0,5.82,['Hentai'],        Jun 2010 - Apr 2015,https://myanimelist.net/anime/8654/I☆Can
22,Inmu: Ikenie no UtageInmu: Feast of Victims,OVA,2.0,1609.0,510.0,5.82,"['Hentai', 'Demons']",        Jan 2000 - Apr 2000,https://myanimelist.net/anime/4379/Inmu__Ikenie_no_Utage
23,Midnight Panther,OVA,2.0,1847.0,702.0,5.82,"['Action', 'Adventure', 'Fantasy', 'Hentai']",        Aug 1998 - Dec 1998,https://myanimelist.net/anime/1763/Midnight_Panther
24,Shoujo Senki Brain Jacker,OVA,2.0,3364.0,1138.0,5.82,"['Hentai', 'Supernatural']",        Mar 2011 - Sep 2012,https://myanimelist.net/anime/10101/Shoujo_Senki_Brain_Jacker
25,A-Size Classmate,OVA,2.0,6388.0,2864.0,5.81,['Hentai'],        Feb 2016 - Apr 2016,https://myanimelist.net/anime/32484/A-Size_Classmate
26,Asgaldh: The Distortion TestamentF-Force,OVA,3.0,2281.0,696.0,5.81,['Hentai'],        Oct 2001 - Apr 2002,https://myanimelist.net/anime/2872/Asgaldh__The_Distortion_Testament
27,Be-yondBeyond,OVA,2.0,1161.0,365.0,5.81,['Hentai'],        Feb 1998 - May 1998,https://myanimelist.net/anime/4820/Be-yond
28,Cartagra: Tsuki Gurui no Yamai,OVA,2.0,3125.0,977.0,5.81,['Hentai'],        Apr 2009 - Jun 2009,https://myanimelist.net/anime/6422/Cartagra__Tsuki_Gurui_no_Yamai
29,Kaette Kita Court no Naka no Tenshi-tachiAngels in the Court 2,OVA,2.0,1882.0,548.0,5.81,['Hentai'],        Oct 2001 - Jan 2002,https://myanimelist.net/anime/1513/Kaette_Kita_Court_no_Naka_no_Tenshi-tachi
30,Shimai IjiriSlave Sisters,OVA,2.0,1306.0,379.0,5.81,['Hentai'],        Dec 1999 - Mar 2000,https://myanimelist.net/anime/3951/Shimai_Ijiri
31,Shin-ban Megami Tantei Vinus FileThe Venus Files,OVA,2.0,1275.0,434.0,5.82,['Hentai'],        Feb 2004 - Aug 2004,https://myanimelist.net/anime/2956/Shin-ban_Megami_Tantei_Vinus_File
32,Tsuukin Kairaku: Chikan de Go!!,OVA,2.0,2329.0,813.0,5.81,['Hentai'],        Mar 2007 - May 2007,https://myanimelist.net/anime/4355/Tsuukin_Kairaku__Chikan_de_Go
33,Cambrian,OVA,2.0,3686.0,1434.0,5.8,['Hentai'],        Nov 2005 - May 2006,https://myanimelist.net/anime/2412/Cambrian
34,Dragon Knight 4Dragon Knight: Wheel of Time,OVA,4.0,2401.0,1024.0,5.79,"['Adventure', 'Fantasy', 'Hentai', 'Magic']",        Nov 1998 - Aug 1999,https://myanimelist.net/anime/1834/Dragon_Knight_4
35,Ingoku ByoutouRxxx: Prescription for Pain,OVA,2.0,1506.0,433.0,5.8,['Hentai'],        Aug 2002 - Nov 2002,https://myanimelist.net/anime/3628/Ingoku_Byoutou
36,Jinshin YuugiLove Lessons,OVA,2.0,1732.0,570.0,5.82,['Hentai'],        Mar 2001 - Jun 2001,https://myanimelist.net/anime/828/Jinshin_Yuugi
