,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Nasu: Andalusia no Natsu,Nasu: Summer in Andalusia,Movie,1.0,6971.0,,7.05,"['Action', 'Sports', 'Seinen']",        Jul 2003 - Jul 2003,https://myanimelist.net/anime/1209/Nasu__Andalusia_no_Natsu
1,Ninkuu,,TV,55.0,4332.0,,7.04,"['Adventure', 'Shounen']",        Jan 1995 - Feb 1996,https://myanimelist.net/anime/912/Ninkuu
2,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,One Piece: Chopper Kingdom of Strange Animal Island,Movie,1.0,53592.0,,7.04,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",        Mar 2002 - Mar 2002,https://myanimelist.net/anime/461/One_Piece_Movie_3__Chinjuu-jima_no_Chopper_Oukoku
3,Orenchi no Furo Jijou,,TV,13.0,74714.0,,7.04,"['Comedy', 'Fantasy', 'Josei']",        Oct 2014 - Dec 2014,https://myanimelist.net/anime/24211/Orenchi_no_Furo_Jijou
4,Paulette no Isu,Paulette's Chair,ONA,1.0,7384.0,,7.05,"['Slice of Life', 'Comedy', 'Kids']",        Mar 2014 - Mar 2014,https://myanimelist.net/anime/23285/Paulette_no_Isu
5,Pokemon Movie 12: Arceus Choukoku no Jikuu e,Pokemon: Arceus and the Jewel of Life,Movie,1.0,54008.0,,7.05,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Kids']",        Jul 2009 - Jul 2009,https://myanimelist.net/anime/6178/Pokemon_Movie_12__Arceus_Choukoku_no_Jikuu_e
6,Popolocrois Monogatari,,TV,25.0,2210.0,,7.05,"['Adventure', 'Fantasy']",        Oct 1998 - Mar 1999,https://myanimelist.net/anime/4191/Popolocrois_Monogatari
7,Punch Line,,TV,12.0,170003.0,,7.04,"['Comedy', 'Ecchi', 'Sci-Fi', 'Super Power', 'Supernatural']",        Apr 2015 - Jun 2015,https://myanimelist.net/anime/28617/Punch_Line
8,RahXephon: Tagen Hensoukyoku,RahXephon: Pluralitas Concentio,Movie,1.0,12977.0,,7.05,"['Action', 'Drama', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi']",        Apr 2003 - Apr 2003,https://myanimelist.net/anime/758/RahXephon__Tagen_Hensoukyoku
9,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,,Special,1.0,80925.0,,7.05,"['Harem', 'Comedy', 'Romance', 'Ecchi']",        Jan 2015 - Jan 2015,https://myanimelist.net/anime/29317/Saenai_Heroine_no_Sodatekata__Ai_to_Seishun_no_Service-kai
10,Shingeki no Kyojin: Ano Hi Kara,Attack on Titan: Since That Day,Special,1.0,81136.0,,7.06,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",        Jul 2013 - Jul 2013,https://myanimelist.net/anime/19285/Shingeki_no_Kyojin__Ano_Hi_Kara
11,Soukyuu no Fafner: Dead Aggressor - The Beyond,,Movie,3.0,4926.0,,7.06,"['Action', 'Military', 'Sci-Fi', 'Drama', 'Mecha']",        May 2019 - May 2019,https://myanimelist.net/anime/34649/Soukyuu_no_Fafner__Dead_Aggressor_-_The_Beyond
12,Tsurune: Kazemai Koukou Kyuudoubu - Yabai,,Special,1.0,10695.0,,7.05,"['Sports', 'Drama', 'School']",        Mar 2019 - Mar 2019,https://myanimelist.net/anime/38921/Tsurune__Kazemai_Koukou_Kyuudoubu_-_Yabai
13,Unico: Mahou no Shima e,Unico in the Island of Magic,Movie,1.0,2055.0,,7.05,"['Adventure', 'Fantasy', 'Kids']",        Jul 1983 - Jul 1983,https://myanimelist.net/anime/2429/Unico__Mahou_no_Shima_e
14,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",,OVA,1.0,66833.0,,7.05,"['Comedy', 'School', 'Slice of Life']",        Oct 2014 - Oct 2014,https://myanimelist.net/anime/20449/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui__Motenaishi_Nazomeite_Miru
15,Yuki no Joou (TV),The Snow Queen,TV,36.0,3214.0,,7.05,"['Adventure', 'Drama', 'Fantasy', 'Shoujo']",        May 2005 - Feb 2006,https://myanimelist.net/anime/754/Yuki_no_Joou_TV
16,3-gatsu no Lion meets Bump of Chicken,March comes in like a lion meets Bump of Chicken,Music,1.0,9841.0,,7.04,"['Music', 'Drama', 'Seinen']",        Dec 2014 - Dec 2014,https://myanimelist.net/anime/28789/3-gatsu_no_Lion_meets_Bump_of_Chicken
17,Ano Ko Secret,The Secret About That Girl,Music,1.0,688.0,,7.06,"['Music', 'Romance']",        Jul 2017 - Jul 2017,https://myanimelist.net/anime/37266/Ano_Ko_Secret
18,Area 88 (TV),,TV,12.0,10868.0,,7.04,"['Action', 'Drama', 'Military', 'Romance', 'Shounen']",        Jan 2004 - Mar 2004,https://myanimelist.net/anime/284/Area_88_TV
19,Azumanga Daioh: Gekijou Tanpen,,Special,1.0,34291.0,,7.04,"['Comedy', 'School', 'Slice of Life']",        Dec 2001 - Dec 2001,https://myanimelist.net/anime/659/Azumanga_Daioh__Gekijou_Tanpen
20,Battle Spirits: Shounen Gekiha Dan,,TV,50.0,2216.0,,7.04,"['Game', 'Military', 'Adventure', 'Magic']",        Sep 2009 - Sep 2010,https://myanimelist.net/anime/6901/Battle_Spirits__Shounen_Gekiha_Dan
21,Cheburashka,,Movie,1.0,1024.0,,7.03,['Comedy'],        Dec 2010 - Dec 2010,https://myanimelist.net/anime/9340/Cheburashka
22,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,,OVA,1.0,31980.0,,7.04,"['Slice of Life', 'Comedy', 'School', 'Josei']",        Sep 2013 - Sep 2013,https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni
23,Dog Days'',,TV,12.0,57349.0,,7.03,"['Action', 'Adventure', 'Magic', 'Fantasy']",        Jan 2015 - Mar 2015,https://myanimelist.net/anime/16385/Dog_Days
24,Dragon League,,TV,39.0,1163.0,,7.04,"['Adventure', 'Fantasy', 'Sports', 'Comedy', 'Shounen']",        May 1993 - Mar 1994,https://myanimelist.net/anime/5197/Dragon_League
25,Guilty Crown: 4-koma Gekijou,,Special,11.0,20318.0,,7.04,['Comedy'],        Jan 2012 - Nov 2012,https://myanimelist.net/anime/13561/Guilty_Crown__4-koma_Gekijou
