,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Futari no Tarou,,OVA,1.0,112.0,,,"['Adventure', 'Kids']",        1990 - 1990,https://myanimelist.net/anime/25633/Futari_no_Tarou
1,Futari wa 80-sai,,Music,1.0,142.0,,,"['Music', 'Kids']",        Aug 1986 - Aug 1986,https://myanimelist.net/anime/32322/Futari_wa_80-sai
2,Futari wa Nakayoshi: Goo to Sue,,TV,84.0,139.0,,,"['Kids', 'Slice of Life']",        Apr 1991 - Feb 1994,https://myanimelist.net/anime/30118/Futari_wa_Nakayoshi__Goo_to_Sue
3,Futari Zamurai Homare no Kawakiri,Two Samurai,Movie,1.0,238.0,,,"['Samurai', 'Historical', 'Drama']",        1963 - 1963,https://myanimelist.net/anime/29653/Futari_Zamurai_Homare_no_Kawakiri
4,Futsuu tte Nandarou?,,Special,,235.0,,,['Slice of Life'],        Nov 2018 - ,https://myanimelist.net/anime/38711/Futsuu_tte_Nandarou
5,Future GPX Cyber Formula Graffiti,,OVA,1.0,419.0,,,"['Action', 'Sci-Fi', 'Sports']",        Aug 1992 - Aug 1992,https://myanimelist.net/anime/9759/Future_GPX_Cyber_Formula_Graffiti
6,Fuusen Inu Tinny,,TV,26.0,255.0,,,"['Adventure', 'Kids']",        Sep 2014 - Mar 2015,https://myanimelist.net/anime/25503/Fuusen_Inu_Tinny
7,Fuusen Inu Tinny 2nd Season,,TV,26.0,186.0,,,"['Adventure', 'Kids']",        Sep 2015 - Mar 2016,https://myanimelist.net/anime/31640/Fuusen_Inu_Tinny_2nd_Season
8,Fuusen Inu Tinny: Nandaka Fushigi na - Kyouryuu no Kuni,,Movie,1.0,145.0,,,"['Adventure', 'Kids']",        Aug 2017 - Aug 2017,https://myanimelist.net/anime/34756/Fuusen_Inu_Tinny__Nandaka_Fushigi_na_-_Kyouryuu_no_Kuni
9,Fuusen no Doratarou,,TV,13.0,217.0,,,['Kids'],        Apr 1981 - Aug 1981,https://myanimelist.net/anime/5594/Fuusen_no_Doratarou
10,Fuusen Shoujo Temple-chan,Temple the Balloonist,TV,26.0,366.0,,,"['Adventure', 'Comedy', 'Kids']",        Oct 1977 - Mar 1978,https://myanimelist.net/anime/2809/Fuusen_Shoujo_Temple-chan
11,Fuusen Shoujo Temple-chan Movie,,Movie,1.0,125.0,,,"['Adventure', 'Comedy', 'Kids', 'Music']",        1977 - 1977,https://myanimelist.net/anime/30530/Fuusen_Shoujo_Temple-chan_Movie
