,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Futakoi Alternative,,TV,13.0,27238.0,,6.93,"['Comedy', 'Drama', 'Romance']",        Apr 2005 - Jun 2005,https://myanimelist.net/anime/126/Futakoi_Alternative
1,Hi no Tori: Houou-hen,Phoenix: Karma Chapter,Movie,1.0,2444.0,,6.92,"['Drama', 'Fantasy', 'Historical']",        Dec 1986 - Dec 1986,https://myanimelist.net/anime/2997/Hi_no_Tori__Houou-hen
2,Hitori no Shita: The Outcast 3rd Season,The Outcast 3rd Season,ONA,8.0,10167.0,,6.95,"['Action', 'Mystery', 'Super Power', 'Psychological', 'Supernatural', 'Drama', 'Martial Arts']",        Apr 2020 - ,https://myanimelist.net/anime/38536/Hitori_no_Shita__The_Outcast_3rd_Season
3,I''s Pure,,OVA,6.0,21695.0,,6.93,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'School']",        Dec 2005 - Jun 2006,https://myanimelist.net/anime/811/Is_Pure
4,Ichigo 100% OVA,Ichigo 100% Original DVD Animation,OVA,4.0,23386.0,,6.93,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Shounen']",        Jun 2005 - Oct 2005,https://myanimelist.net/anime/981/Ichigo_100_OVA
5,Idaten Jump,,TV,52.0,6868.0,,6.92,"['Game', 'School', 'Sports']",        Oct 2005 - Sep 2006,https://myanimelist.net/anime/1316/Idaten_Jump
6,Kakutou Bijin Wulong: Rebirth,Fighting Beauty Wulong Rebirth,TV,25.0,2812.0,,6.92,"['Action', 'Comedy', 'Martial Arts', 'School', 'Shounen']",        Apr 2006 - Oct 2006,https://myanimelist.net/anime/968/Kakutou_Bijin_Wulong__Rebirth
7,Kami nomi zo Shiru Sekai: Flag 0,The World God Only Knows: Flag 0,OVA,1.0,50609.0,,6.93,"['Comedy', 'Shounen', 'Supernatural']",        Sep 2010 - Sep 2010,https://myanimelist.net/anime/9675/Kami_nomi_zo_Shiru_Sekai__Flag_0
8,Kamisama no Inai Nichiyoubi: Kioku,Sunday Without God: Memories,Special,1.0,25130.0,,6.93,"['Mystery', 'Fantasy']",        Feb 2014 - Feb 2014,https://myanimelist.net/anime/20423/Kamisama_no_Inai_Nichiyoubi__Kioku
9,Kantai Collection: KanColle,KanColle: Kantai Collection,TV,12.0,174915.0,,6.93,"['Action', 'Military', 'Sci-Fi', 'Slice of Life', 'School']",        Jan 2015 - Mar 2015,https://myanimelist.net/anime/21511/Kantai_Collection__KanColle
10,Karneval Specials,,Special,11.0,7328.0,,6.92,"['Comedy', 'Josei']",        Jun 2013 - Nov 2013,https://myanimelist.net/anime/23425/Karneval_Specials
11,Katte ni Kaizou,,OVA,6.0,25646.0,,6.93,"['Comedy', 'Parody', 'School', 'Sci-Fi', 'Shounen']",        May 2011 - Oct 2011,https://myanimelist.net/anime/10191/Katte_ni_Kaizou
