,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Ninja Negizou,,Music,1.0,112.0,,,"['Music', 'Kids']",        Feb 2010 - Feb 2010,https://myanimelist.net/anime/33060/Ninja_Negizou
1,Ninja Tamamaru,,TV,26.0,108.0,,,"['Kids', 'Martial Arts']",        Apr 2008 - Oct 2008,https://myanimelist.net/anime/35106/Ninja_Tamamaru
2,Ninja Tamamaru no Hi no Youjin,,OVA,1.0,48.0,,,"['Kids', 'Martial Arts']",        2017 - 2017,https://myanimelist.net/anime/39104/Ninja_Tamamaru_no_Hi_no_Youjin
3,Ninja Tamamaru: Rule wo Mamotte Koutsuu Anzen! no Maki,,OVA,1.0,78.0,,,"['Kids', 'Martial Arts']",        2015 - 2015,https://myanimelist.net/anime/35109/Ninja_Tamamaru__Rule_wo_Mamotte_Koutsuu_Anzen_no_Maki
4,Ninja Tamamaru: Toukaidou Gojuusan-ji,,TV,26.0,99.0,,,"['Kids', 'Martial Arts']",        Dec 2009 - Jun 2010,https://myanimelist.net/anime/35108/Ninja_Tamamaru__Toukaidou_Gojuusan-ji
5,Ninjala Episode 0,Ninjala Episode 0: Ninja-Gum is Born,ONA,1.0,107.0,,,"['Sci-Fi', 'Super Power', 'Martial Arts']",        Mar 2020 - Mar 2020,https://myanimelist.net/anime/41547/Ninjala_Episode_0
6,Ninjaman Ippei,,TV,13.0,221.0,,,"['Action', 'Comedy', 'School', 'Slice of Life']",        Oct 1982 - Dec 1982,https://myanimelist.net/anime/21491/Ninjaman_Ippei
7,Ninpen Manmaru,,TV,30.0,281.0,,,"['Comedy', 'Samurai', 'Shounen']",        Jul 1997 - Mar 1998,https://myanimelist.net/anime/9455/Ninpen_Manmaru
8,Ninpuu Kamui Gaiden: Tsukihigai no Maki,,Movie,1.0,271.0,,,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Samurai']",        Mar 1971 - Mar 1971,https://myanimelist.net/anime/30965/Ninpuu_Kamui_Gaiden__Tsukihigai_no_Maki
9,Nintama Rantarou no Jishin Youjin Hi no Youjin,,OVA,1.0,178.0,,,"['Kids', 'Drama']",         - ,https://myanimelist.net/anime/28581/Nintama_Rantarou_no_Jishin_Youjin_Hi_no_Youjin
10,Nintama Rantarou no Jitensha Anzen Kyoushitsu,,OVA,1.0,90.0,,,"['Kids', 'Martial Arts']",        Feb 1997 - Feb 1997,https://myanimelist.net/anime/39371/Nintama_Rantarou_no_Jitensha_Anzen_Kyoushitsu
11,Nintama Rantarou no Koutsuu Anzen,,OVA,1.0,97.0,,,"['Kids', 'Martial Arts']",        Dec 1995 - Dec 1995,https://myanimelist.net/anime/39372/Nintama_Rantarou_no_Koutsuu_Anzen
12,Nintama Rantarou no Shouboutai,,OVA,1.0,186.0,,,"['Kids', 'Drama']",         - ,https://myanimelist.net/anime/28583/Nintama_Rantarou_no_Shouboutai
13,Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,,Special,,231.0,,,"['Adventure', 'Space', 'Comedy', 'Kids']",        Feb 2016 - ,https://myanimelist.net/anime/32773/Nintama_Rantarou_no_Uchuu_Daibouken_with_Cosmic_Front☆Next
14,Nintama Rantarou: Dokutake Onsen no Dan,,Special,1.0,240.0,,,['Comedy'],        May 2007 - May 2007,https://myanimelist.net/anime/31033/Nintama_Rantarou__Dokutake_Onsen_no_Dan
15,Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan,,Special,1.0,242.0,,,['Comedy'],        Mar 2013 - Mar 2013,https://myanimelist.net/anime/31034/Nintama_Rantarou__Ninjutsu_Gakuen_to_Nazo_no_Onna_-_Kore_wa_Jiken_Da_yo_no_Dan
16,Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan,,Special,2.0,185.0,,,"['Comedy', 'Kids']",        Oct 2017 - Oct 2017,https://myanimelist.net/anime/36620/Nintama_Rantarou__Saraba_Ninjutsu_Gakuen_no_Dan
17,Nippen no Miko-chan,,Special,3.0,276.0,,,['Comedy'],        Jan 2018 - Jan 2018,https://myanimelist.net/anime/36907/Nippen_no_Miko-chan
18,Nippon Mukashibanashi: Sannen Netarou,,OVA,1.0,74.0,,,"['Fantasy', 'Kids']",         - ,https://myanimelist.net/anime/34193/Nippon_Mukashibanashi__Sannen_Netarou
19,Nippon Tanjou,,TV,5.0,212.0,,,['Historical'],        Jun 1970 - Oct 1970,https://myanimelist.net/anime/22999/Nippon_Tanjou
20,Nippon-ichi no Otoko no Tamashii,,TV,16.0,825.0,,,"['Comedy', 'Romance']",        Jan 1999 - Jan 1999,https://myanimelist.net/anime/8890/Nippon-ichi_no_Otoko_no_Tamashii
21,Nippon-ichi no Otoko no Tamashii 2,,TV,16.0,435.0,,,"['Comedy', 'Romance']",        May 1999 - May 1999,https://myanimelist.net/anime/8891/Nippon-ichi_no_Otoko_no_Tamashii_2
22,Nishio no Yatsuzou,,Special,1.0,115.0,,,['Samurai'],        May 2014 - May 2014,https://myanimelist.net/anime/36583/Nishio_no_Yatsuzou
23,Nishitesu CMs,,Special,2.0,171.0,,,"['Cars', 'Slice of Life']",        Jul 2016 - Aug 2016,https://myanimelist.net/anime/37142/Nishitesu_CMs
24,Niuniu Elise PV,Elise in Wonder Cooking,ONA,1.0,150.0,,,['Slice of Life'],        Mar 2017 - Mar 2017,https://myanimelist.net/anime/35442/Niuniu_Elise_PV
25,No Shiba no Shiba,No Silver Bullets,Special,2.0,104.0,,,"['Comedy', 'Supernatural', 'School']",        May 2009 - May 2009,https://myanimelist.net/anime/34698/No_Shiba_no_Shiba
26,Noah's Animal Clinic Medical Book Record,,ONA,10.0,76.0,,,"['Slice of Life', 'Comedy', 'Kids']",        Mar 2012 - Mar 2013,https://myanimelist.net/anime/35071/Noahs_Animal_Clinic_Medical_Book_Record
27,Nobara,,Movie,1.0,165.0,,,['Drama'],        1976 - 1976,https://myanimelist.net/anime/29900/Nobara
28,Nobara (OVA),,OVA,1.0,98.0,,,"['Historical', 'Kids']",         - ,https://myanimelist.net/anime/35059/Nobara_OVA
29,Nobara no Julie,Julie the Wild Rose,TV,13.0,427.0,,,"['Adventure', 'Historical', 'Music', 'Drama']",        Jan 1979 - Apr 1979,https://myanimelist.net/anime/8777/Nobara_no_Julie
30,Nobunaga-kun no Jitensha no Rule wo Mamoru no Ja,,OVA,1.0,131.0,,,"['Drama', 'Kids']",        Jul 2014 - Jul 2014,https://myanimelist.net/anime/28547/Nobunaga-kun_no_Jitensha_no_Rule_wo_Mamoru_no_Ja
31,Nobunaga-kun no Minna de Yakusoku Hi no Youjin,,OVA,1.0,129.0,,,"['Drama', 'Kids']",        Jul 2014 - Jul 2014,https://myanimelist.net/anime/28545/Nobunaga-kun_no_Minna_de_Yakusoku_Hi_no_Youjin
32,Noel no Fushigi na Bouken,Noel's Fantastic Trip,Movie,1.0,278.0,,,"['Adventure', 'Comedy', 'Fantasy']",        Apr 1983 - Apr 1983,https://myanimelist.net/anime/9303/Noel_no_Fushigi_na_Bouken
33,Nogiku no Haka,,OVA,1.0,171.0,,,"['Drama', 'Kids', 'Romance']",        2000 - 2000,https://myanimelist.net/anime/26265/Nogiku_no_Haka
34,Noise,,Movie,1.0,69.0,,,['Dementia'],        2006 - 2006,https://myanimelist.net/anime/38867/Noise
35,Non-tan to Issho,,TV,263.0,247.0,,,['Kids'],        Oct 1992 - Mar 1994,https://myanimelist.net/anime/17601/Non-tan_to_Issho
36,Nonki na Tou-san Ryuuguu Mairi,,Movie,1.0,193.0,,,['Supernatural'],        1925 - 1925,https://myanimelist.net/anime/7495/Nonki_na_Tou-san_Ryuuguu_Mairi
37,Nono-chan Theater,,ONA,85.0,164.0,,,['Comedy'],        Sep 2001 - Dec 2001,https://myanimelist.net/anime/35575/Nono-chan_Theater
38,Noobow,,TV,26.0,173.0,,,"['Kids', 'Slice of Life']",        Oct 1995 - Mar 1996,https://myanimelist.net/anime/18573/Noobow
39,Noobow: Kieta Medal,,OVA,1.0,171.0,,,"['Kids', 'Slice of Life']",        Mar 1990 - Mar 1990,https://myanimelist.net/anime/18575/Noobow__Kieta_Medal
40,Noobow: Na Kokoro,,ONA,52.0,145.0,,,"['Kids', 'Slice of Life']",        Aug 2009 - 2010,https://myanimelist.net/anime/18577/Noobow__Na_Kokoro
41,Noonbory,Noonbory & the Super 7,TV,26.0,151.0,,,"['Kids', 'Fantasy']",        Sep 2009 - Dec 2009,https://myanimelist.net/anime/21019/Noonbory
42,Norabbits' Minutes,,Movie,5.0,198.0,,,"['Comedy', 'Fantasy', 'Kids']",        Feb 2006 - Jun 2007,https://myanimelist.net/anime/8205/Norabbits_Minutes
43,Norakuro,,TV,26.0,282.0,,,['Comedy'],        Oct 1970 - Mar 1971,https://myanimelist.net/anime/23013/Norakuro
44,Norakuro Compilation OVA,,OVA,1.0,185.0,,,['Comedy'],        Jan 1970 - Jan 1970,https://myanimelist.net/anime/30305/Norakuro_Compilation_OVA
45,Norakuro-kun,,TV,50.0,306.0,,,"['Comedy', 'Mystery']",        Oct 1987 - Oct 1988,https://myanimelist.net/anime/16393/Norakuro-kun
46,Noramimi,,TV,12.0,718.0,,,['Comedy'],        Jan 2008 - Mar 2008,https://myanimelist.net/anime/3514/Noramimi
47,Noramimi 2,,TV,13.0,273.0,,,['Comedy'],        Oct 2008 - Dec 2008,https://myanimelist.net/anime/5089/Noramimi_2
48,Norasco,,ONA,,206.0,,,"['Slice of Life', 'Comedy']",        Oct 2013 - ,https://myanimelist.net/anime/24773/Norasco
49,Norasco (Movie),,Movie,,133.0,,,"['Slice of Life', 'Comedy']",        Sep 2016 - ,https://myanimelist.net/anime/34092/Norasco_Movie
