,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Doukyuusei (Movie),Doukyusei -Classmates-,Movie,1.0,113629.0,,8.31,"['Slice of Life', 'Romance', 'School', 'Shounen Ai']",        Feb 2016 - Feb 2016,https://myanimelist.net/anime/30346/Doukyuusei_Movie
1,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Fate/stay night: Heaven's Feel - I. Presage Flower,Movie,1.0,205219.0,,8.32,"['Action', 'Fantasy', 'Magic', 'Supernatural']",        Oct 2017 - Oct 2017,https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower
2,Planetes,,TV,26.0,176857.0,,8.32,"['Drama', 'Romance', 'Sci-Fi', 'Seinen', 'Space']",        Oct 2003 - Apr 2004,https://myanimelist.net/anime/329/Planetes
3,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,TV,25.0,1161657.0,,8.31,"['Psychological', 'Drama', 'Thriller', 'Fantasy']",        Apr 2016 - Sep 2016,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
4,Toradora!,,TV,25.0,1263985.0,,8.31,"['Slice of Life', 'Comedy', 'Romance', 'School']",        Oct 2008 - Mar 2009,https://myanimelist.net/anime/4224/Toradora
5,Banana Fish,,TV,24.0,235034.0,,8.32,"['Action', 'Adventure', 'Drama', 'Shoujo']",        Jul 2018 - Dec 2018,https://myanimelist.net/anime/36649/Banana_Fish
6,Detective Conan: Episode One - The Great Detective Turned Small,,Special,1.0,19062.0,,8.3,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",        Dec 2016 - Dec 2016,https://myanimelist.net/anime/34036/Detective_Conan__Episode_One_-_The_Great_Detective_Turned_Small
7,Gin no Saji 2nd Season,Silver Spoon 2nd Season,TV,11.0,109847.0,,8.31,"['Comedy', 'School', 'Shounen', 'Slice of Life']",        Jan 2014 - Mar 2014,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
8,Hajime no Ippo: Champion Road,Fighting Spirit: Champion Road,Special,1.0,86484.0,,8.31,"['Comedy', 'Shounen', 'Sports']",        Apr 2003 - Apr 2003,https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road
9,Hunter x Hunter: Greed Island Final,,OVA,14.0,96222.0,,8.31,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",        Mar 2004 - Aug 2004,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final
