,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Yukiguni no Oujisama,The Snow Country Prince,Movie,1.0,206.0,,,['Slice of Life'],        Dec 1985 - Dec 1985,https://myanimelist.net/anime/23345/Yukiguni_no_Oujisama
1,Yukiwatari,,Movie,1.0,295.0,,,['Fantasy'],        Jul 1994 - Jul 1994,https://myanimelist.net/anime/15141/Yukiwatari
2,Yume Hakonda Randoseru,,Music,1.0,115.0,,,"['Music', 'Slice of Life', 'Kids']",        Feb 2017 - Feb 2017,https://myanimelist.net/anime/35525/Yume_Hakonda_Randoseru
3,Yume Kakeru Kougen: Kiyosato no Chichi Paul Rusch,Paul Rusch: His Life and Dream,Movie,1.0,319.0,,,['Historical'],        Oct 2002 - Oct 2002,https://myanimelist.net/anime/33828/Yume_Kakeru_Kougen__Kiyosato_no_Chichi_Paul_Rusch
4,Yume Kyuukou de 15-bu,,Music,1.0,81.0,,,"['Kids', 'Music']",        Oct 1983 - Oct 1983,https://myanimelist.net/anime/39889/Yume_Kyuukou_de_15-bu
5,Yume Miru Koneko,,Music,1.0,89.0,,,"['Kids', 'Music', 'Parody']",        Aug 1983 - Aug 1983,https://myanimelist.net/anime/38310/Yume_Miru_Koneko
6,"Yume Miru, Anime: on-chan",,TV,26.0,240.0,,,['Comedy'],        Jan 2008 - Aug 2008,https://myanimelist.net/anime/3500/Yume_Miru_Anime__on-chan
7,Yume no Jidousha,,Movie,1.0,278.0,,,['Cars'],        May 1917 - May 1917,https://myanimelist.net/anime/24575/Yume_no_Jidousha
8,Yume no Kawa,,Music,1.0,99.0,,,['Music'],        Aug 2012 - Aug 2012,https://myanimelist.net/anime/37605/Yume_no_Kawa
9,Yume no Mahou,,Music,1.0,62.0,,,"['Kids', 'Music']",        Apr 1996 - Apr 1996,https://myanimelist.net/anime/39911/Yume_no_Mahou
10,Yume no Tochuu de,,Music,1.0,102.0,,,"['Kids', 'Music']",        Aug 2017 - Aug 2017,https://myanimelist.net/anime/37067/Yume_no_Tochuu_de
11,Yume no Tsuzuki,,OVA,1.0,133.0,,,"['Drama', 'Kids']",        2007 - 2007,https://myanimelist.net/anime/26097/Yume_no_Tsuzuki
12,Yume Utsutsu,Be Vague,Movie,1.0,217.0,,,['Dementia'],        2002 - 2002,https://myanimelist.net/anime/30213/Yume_Utsutsu
13,Yume wo Kanaeru Zou,,TV,12.0,306.0,,,['Comedy'],        Jan 2009 - Dec 2009,https://myanimelist.net/anime/5841/Yume_wo_Kanaeru_Zou
14,Yume wo Misete,,Music,1.0,107.0,,,['Music'],        Feb 2017 - Feb 2017,https://myanimelist.net/anime/38898/Yume_wo_Misete
