,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Penguin no Mondai POW,,TV,51.0,48.0,,,['Kids'],        Apr 2012 - Mar 2013,https://myanimelist.net/anime/40087/Penguin_no_Mondai_POW
1,PePePePengiin,,TV,13.0,384.0,,,['Comedy'],        Oct 2016 - Dec 2016,https://myanimelist.net/anime/34156/PePePePengiin
2,Perestroika,,OVA,12.0,118.0,,,['Comedy'],        Oct 2008 - Oct 2008,https://myanimelist.net/anime/35270/Perestroika
3,Perman (1983) Specials,,Special,3.0,259.0,,,"['Comedy', 'Kids']",        Jul 1983 - Oct 1984,https://myanimelist.net/anime/30646/Perman_1983_Specials
4,Perman: Birdman ga Yatte Kita!!,,Movie,1.0,274.0,,,"['Kids', 'Adventure', 'Comedy', 'Super Power']",        Mar 1983 - Mar 1983,https://myanimelist.net/anime/29613/Perman__Birdman_ga_Yatte_Kita
5,Perrine Monogatari Movie,,Movie,1.0,304.0,,,"['Drama', 'Historical', 'Shoujo', 'Slice of Life']",        Jun 1990 - Jun 1990,https://myanimelist.net/anime/16458/Perrine_Monogatari_Movie
6,Perrine Monogatari Specials,,Special,2.0,252.0,,,"['Drama', 'Historical', 'Kids', 'Shoujo', 'Slice of Life']",        Jan 2001 - 2001,https://myanimelist.net/anime/16460/Perrine_Monogatari_Specials
7,Persia no Komoriuta: Watashi no Hana,,Music,1.0,178.0,,,"['Kids', 'Music']",        Jun 1984 - Jun 1984,https://myanimelist.net/anime/29177/Persia_no_Komoriuta__Watashi_no_Hana
8,Peter Pan no Bouken Specials,,Special,2.0,273.0,,,"['Adventure', 'Fantasy']",        2001 - 2001,https://myanimelist.net/anime/23739/Peter_Pan_no_Bouken_Specials
9,Peter-kun no Hinotama Taiji,,OVA,1.0,45.0,,,['Kids'],        1988 - 1988,https://myanimelist.net/anime/39265/Peter-kun_no_Hinotama_Taiji
10,Peter-kun no Koutsuu Anzen,,OVA,1.0,37.0,,,['Kids'],        1986 - 1986,https://myanimelist.net/anime/39624/Peter-kun_no_Koutsuu_Anzen
11,Petit Petit Muse,,TV,26.0,264.0,,,"['Cars', 'Horror', 'Kids']",        Jan 2008 - Jul 2008,https://myanimelist.net/anime/32660/Petit_Petit_Muse
12,Phantasm,,Movie,1.0,196.0,,,"['Dementia', 'Music']",        2013 - 2013,https://myanimelist.net/anime/29953/Phantasm
13,Phantomi: Mini Anime,,ONA,,89.0,,,"['Magic', 'Shoujo']",        Aug 2019 - ,https://myanimelist.net/anime/40316/Phantomi__Mini_Anime
