,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Dragon Ball Kai,Dragon Ball Z Kai,TV,97.0,224015.0,,7.79,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']",        Apr 2009 - Mar 2011,https://myanimelist.net/anime/6033/Dragon_Ball_Kai
1,Free!: Take Your Marks,Free! -Take Your Marks-,Movie,1.0,35434.0,,7.79,"['School', 'Slice of Life', 'Sports']",        Oct 2017 - Oct 2017,https://myanimelist.net/anime/35198/Free__Take_Your_Marks
2,Genshiken 2,,TV,12.0,69685.0,,7.79,"['Comedy', 'Parody', 'Slice of Life']",        Oct 2007 - Dec 2007,https://myanimelist.net/anime/2508/Genshiken_2
3,Ie Naki Ko,,TV,51.0,9195.0,,7.79,"['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']",        Oct 1977 - Oct 1978,https://myanimelist.net/anime/2828/Ie_Naki_Ko
4,Jin-Rou,Jin-Roh: The Wolf Brigade,Movie,1.0,111296.0,,7.79,"['Military', 'Police', 'Psychological', 'Drama', 'Romance']",        Jun 2000 - Jun 2000,https://myanimelist.net/anime/570/Jin-Rou
5,Kami nomi zo Shiru Sekai,The World God Only Knows,TV,12.0,456579.0,,7.78,"['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']",        Oct 2010 - Dec 2010,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai
6,Little Busters!: EX,Little Busters! EX,Special,8.0,41704.0,,7.78,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",        Jan 2014 - Jul 2014,https://myanimelist.net/anime/20517/Little_Busters__EX
7,Lucky☆Star,,TV,24.0,476588.0,,7.79,"['Slice of Life', 'Comedy', 'Parody', 'School']",        Apr 2007 - Sep 2007,https://myanimelist.net/anime/1887/Lucky☆Star
8,Lupin the Third: Mine Fujiko to Iu Onna,"Lupin the Third, The Woman Called Fujiko Mine",TV,13.0,43037.0,,7.79,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Samurai', 'Seinen']",        Apr 2012 - Jun 2012,https://myanimelist.net/anime/13203/Lupin_the_Third__Mine_Fujiko_to_Iu_Onna
9,Manga de Wakaru! Fate/Grand Order,,Special,1.0,8664.0,,7.79,['Comedy'],        Dec 2018 - Dec 2018,https://myanimelist.net/anime/38958/Manga_de_Wakaru_Fate_Grand_Order
10,Nejimaki Seirei Senki: Tenkyou no Alderamin,Alderamin on the Sky,TV,13.0,219012.0,,7.79,"['Action', 'Adventure', 'Fantasy', 'Military']",        Jul 2016 - Oct 2016,https://myanimelist.net/anime/31764/Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin
11,Oniisama e...,"Brother, Dear Brother",TV,39.0,23744.0,,7.79,"['Psychological', 'Drama', 'School', 'Shoujo', 'Shoujo Ai']",        Jul 1991 - May 1992,https://myanimelist.net/anime/795/Oniisama_e
12,Prison School,,TV,12.0,573553.0,,7.78,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",        Jul 2015 - Sep 2015,https://myanimelist.net/anime/30240/Prison_School
13,Saint Seiya: Meiou Hades Meikai-hen,Saint Seiya: The Hades Chapter - Inferno,OVA,12.0,35663.0,,7.79,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",        Dec 2005 - Feb 2007,https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen
14,Shaman King,,TV,64.0,265724.0,,7.79,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",        Jul 2001 - Sep 2002,https://myanimelist.net/anime/154/Shaman_King
15,Sword Art Online Movie: Ordinal Scale,Sword Art Online the Movie -Ordinal Scale-,Movie,1.0,410383.0,,7.77,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",        Feb 2017 - Feb 2017,https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale
16,Tamayura: Sotsugyou Shashin Part 3 - Akogare,,Movie,1.0,6462.0,,7.8,"['Comedy', 'Drama', 'Slice of Life']",        Nov 2015 - Nov 2015,https://myanimelist.net/anime/29830/Tamayura__Sotsugyou_Shashin_Part_3_-_Akogare
17,Ueki no Housoku,The Law of Ueki,TV,51.0,89900.0,,7.79,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Drama', 'Shounen']",        Apr 2005 - Mar 2006,https://myanimelist.net/anime/479/Ueki_no_Housoku
18,Ushiro no Shoumen Daare,Who's Left Behind?,Movie,1.0,7962.0,,7.79,"['Historical', 'Drama']",        Mar 1991 - Mar 1991,https://myanimelist.net/anime/2753/Ushiro_no_Shoumen_Daare
19,Watashi no Ashinaga Ojisan,My Daddy Long Legs,TV,40.0,10425.0,,7.79,"['Comedy', 'Historical', 'Romance', 'School', 'Shoujo', 'Slice of Life']",        Jan 1990 - Dec 1990,https://myanimelist.net/anime/1375/Watashi_no_Ashinaga_Ojisan
20,Yamato Nadeshiko Shichihenge♥,The Seven Metamorphoses of Yamato Nadeshiko,TV,25.0,123175.0,,7.78,"['Comedy', 'Shoujo']",        Oct 2006 - Mar 2007,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥
21,Aoi Bungaku Series,,TV,12.0,149003.0,,7.77,"['Drama', 'Historical', 'Psychological', 'Seinen', 'Thriller']",        Oct 2009 - Dec 2009,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series
22,Chi's Sweet Home: Atarashii Ouchi,Chi's New Address,TV,104.0,22990.0,,7.78,"['Comedy', 'Kids', 'Slice of Life']",        Mar 2009 - Sep 2009,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi
23,Digimon Adventure tri. 3: Kokuhaku,Digimon Adventure tri. Confession,Movie,1.0,54692.0,,7.77,"['Action', 'Adventure', 'Comedy', 'Drama']",        Sep 2016 - Sep 2016,https://myanimelist.net/anime/32551/Digimon_Adventure_tri_3__Kokuhaku
24,Digimon Adventure: Bokura no War Game!,Digimon: The Movie,Movie,1.0,57551.0,,7.78,"['Sci-Fi', 'Adventure', 'Comedy', 'Kids']",        Mar 2000 - Mar 2000,https://myanimelist.net/anime/2397/Digimon_Adventure__Bokura_no_War_Game
