,name,type,episodes,members,score_members,rating,genre,dates,url
0,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yoriTrickster",TV,24.0,89710.0,23040.0,6.24,"['Sci-Fi', 'Mystery', 'Psychological', 'Drama']",        Oct 2016 - Mar 2017,https://myanimelist.net/anime/33377/Trickster__Edogawa_Ranpo_Shounen_Tanteidan_yori
1,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-samaSpace Pirate Mito 2,TV,13.0,991.0,302.0,6.24,"['Action', 'Comedy', 'Sci-Fi']",        Jul 1999 - Oct 1999,https://myanimelist.net/anime/2700/Uchuu_Kaizoku_Mito_no_Daibouken__Futari_no_Joou-sama
2,Ushio to Tora: Comical Deformer GekijouUshio and Tora: Comically Deformed Theater,OVA,1.0,2416.0,785.0,6.24,"['Action', 'Comedy']",        Oct 1993 - Oct 1993,https://myanimelist.net/anime/5308/Ushio_to_Tora__Comical_Deformer_Gekijou
3,Yatogame-chan Kansatsu Nikki,TV,12.0,18266.0,7819.0,6.24,"['Slice of Life', 'Comedy', 'School', 'Shounen']",        Apr 2019 - Jun 2019,https://myanimelist.net/anime/37940/Yatogame-chan_Kansatsu_Nikki
4,11eyes,TV,12.0,192763.0,101952.0,6.23,"['Action', 'Ecchi', 'Super Power', 'Supernatural']",        Oct 2009 - Dec 2009,https://myanimelist.net/anime/6682/11eyes
5,18if,TV,13.0,42184.0,13683.0,6.23,"['Mystery', 'Supernatural']",        Jul 2017 - Sep 2017,https://myanimelist.net/anime/35248/18if
6,Akikan!,TV,12.0,101702.0,50676.0,6.23,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",        Jan 2009 - Mar 2009,https://myanimelist.net/anime/5112/Akikan
7,Amefuri Kozou,OVA,1.0,1177.0,574.0,6.23,"['Supernatural', 'Fantasy']",        Dec 1983 - Dec 1983,https://myanimelist.net/anime/6462/Amefuri_Kozou
8,Ashita no Joe Pilots,Special,2.0,2734.0,1144.0,6.23,"['Drama', 'Shounen', 'Sports']",        Nov 1969 - Dec 1969,https://myanimelist.net/anime/19973/Ashita_no_Joe_Pilots
9,Bakugan Battle Brawlers: Gundalian InvadersBakugan: Gundalian Invaders,TV,39.0,26479.0,15145.0,6.23,"['Action', 'Adventure', 'Fantasy', 'Game', 'Shounen']",        May 2010 - Jan 2011,https://myanimelist.net/anime/7334/Bakugan_Battle_Brawlers__Gundalian_Invaders
10,Bobobo-bo Bo-bobo Recap,Special,1.0,1331.0,395.0,6.23,"['Action', 'Parody', 'Comedy', 'Sci-Fi', 'Shounen']",        Oct 2004 - Oct 2004,https://myanimelist.net/anime/30143/Bobobo-bo_Bo-bobo_Recap
11,Boku wa Mada 7-sai Datta,Music,1.0,206.0,114.0,6.23,['Music'],        May 2016 - May 2016,https://myanimelist.net/anime/36716/Boku_wa_Mada_7-sai_Datta
12,Bonjour♪Koiaji PâtisserieBonjour♪Sweet Love Patisserie,ONA,24.0,40514.0,18343.0,6.23,"['Slice of Life', 'Comedy', 'Harem', 'Romance', 'Shoujo']",        Oct 2014 - Mar 2015,https://myanimelist.net/anime/25839/Bonjour♪Koiaji_Pâtisserie
13,Burn Up Scramble,TV,12.0,7699.0,2557.0,6.22,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Police', 'Sci-Fi', 'Shounen']",        Jan 2004 - Mar 2004,https://myanimelist.net/anime/693/Burn_Up_Scramble
14,Chinpui,TV,56.0,634.0,183.0,6.23,['Comedy'],        Feb 1989 - Apr 1991,https://myanimelist.net/anime/5908/Chinpui
15,Chocolat no MahouThe Magic of Chocolate,OVA,13.0,5709.0,792.0,6.23,"['Supernatural', 'Drama', 'Magic', 'Shoujo']",        Mar 2011 - Jan 2013,https://myanimelist.net/anime/9935/Chocolat_no_Mahou
16,Detective Conan: Chase the Mysterious Comet Monster!,OVA,1.0,2042.0,448.0,6.23,['Mystery'],        Nov 2001 - Nov 2001,https://myanimelist.net/anime/33145/Detective_Conan__Chase_the_Mysterious_Comet_Monster
17,Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi HareDr. Slump and Arale-chan: N-cha! Clear Skies Over Penguin Village,Movie,1.0,948.0,288.0,6.23,"['Comedy', 'Sci-Fi', 'Shounen']",        Jun 1993 - Jun 1993,https://myanimelist.net/anime/7816/Dr_Slump_Movie_06__Arale-chan_N-cha_Penguin_Mura_wa_Hare_Nochi_Hare
18,Eightman After8 Man After,OVA,4.0,2955.0,1290.0,6.22,"['Action', 'Sci-Fi', 'Drama']",        Aug 1993 - Nov 1993,https://myanimelist.net/anime/1344/Eightman_After
19,Fight League: Gear Gadget Generators,ONA,26.0,2684.0,588.0,6.23,"['Action', 'Sci-Fi', 'Mecha']",        Feb 2019 - Aug 2019,https://myanimelist.net/anime/38719/Fight_League__Gear_Gadget_Generators
20,Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi,OVA,4.0,837.0,241.0,6.23,"['Adventure', 'Comedy', 'Fantasy', 'Magic']",        Oct 1993 - May 1994,https://myanimelist.net/anime/6557/Fortune_Quest__Yo_ni_mo_Shiawase_na_Boukensha-tachi
21,Futari Ecchi (2014),OVA,3.0,6675.0,2568.0,6.23,"['Comedy', 'Ecchi', 'Romance', 'Seinen', 'Slice of Life']",        Oct 2014 - Oct 2014,https://myanimelist.net/anime/23985/Futari_Ecchi_2014
22,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,Movie,1.0,1347.0,373.0,6.23,"['Action', 'Comedy', 'Fantasy', 'Magic', 'Shoujo']",        Jan 2008 - Jan 2008,https://myanimelist.net/anime/26053/Futari_wa_Precure__Splash☆Star_Maji★Doki♥_Theater
23,Genmu Senki LedaFantastic Adventure Of Yohko: Leda,OVA,1.0,4114.0,1564.0,6.23,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Mecha', 'Sci-Fi']",        Mar 1985 - Mar 1985,https://myanimelist.net/anime/2196/Genmu_Senki_Leda
24,Ginga Tetsudou 999 (ONA),ONA,6.0,738.0,138.0,6.23,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",        Sep 2002 - Jul 2004,https://myanimelist.net/anime/28733/Ginga_Tetsudou_999_ONA
