,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Hyouka: Motsubeki Mono wa,,OVA,1.0,115200.0,,7.38,"['Mystery', 'School', 'Slice of Life']",        Jul 2012 - Jul 2012,https://myanimelist.net/anime/13469/Hyouka__Motsubeki_Mono_wa
1,Kaze no Shoujo Emily,,TV,26.0,4914.0,,7.38,"['Historical', 'Drama', 'Shoujo']",        Apr 2007 - Sep 2007,https://myanimelist.net/anime/1878/Kaze_no_Shoujo_Emily
2,Marmalade Boy Movie,,Movie,1.0,7932.0,,7.38,"['Romance', 'Shoujo']",        Mar 1995 - Mar 1995,https://myanimelist.net/anime/520/Marmalade_Boy_Movie
3,Mirai no Mirai,Mirai,Movie,1.0,64790.0,,7.38,"['Adventure', 'Drama', 'Fantasy']",        Jul 2018 - Jul 2018,https://myanimelist.net/anime/36936/Mirai_no_Mirai
4,Nitaboh,,Movie,1.0,6927.0,,7.38,"['Historical', 'Music']",        Feb 2004 - Feb 2004,https://myanimelist.net/anime/1203/Nitaboh
5,One Punch Man 2nd Season Specials,,Special,6.0,47580.0,,7.37,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",        Oct 2019 - Mar 2020,https://myanimelist.net/anime/39705/One_Punch_Man_2nd_Season_Specials
6,Pandora Hearts Omake,,Special,9.0,39134.0,,7.38,['Comedy'],        Jul 2009 - Mar 2010,https://myanimelist.net/anime/6896/Pandora_Hearts_Omake
7,Papa no Iukoto wo Kikinasai!,"Listen to Me, Girls. I Am Your Father!",TV,12.0,150457.0,,7.37,"['Comedy', 'Romance', 'Slice of Life']",        Jan 2012 - Mar 2012,https://myanimelist.net/anime/11179/Papa_no_Iukoto_wo_Kikinasai
8,Quanzhi Fashi,,ONA,12.0,67972.0,,7.38,"['Action', 'Fantasy', 'Magic', 'School']",        Sep 2016 - Nov 2016,https://myanimelist.net/anime/34300/Quanzhi_Fashi
9,Rekka no Honoo,Flame of Recca,TV,42.0,50011.0,,7.38,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power']",        Jul 1997 - Jul 1998,https://myanimelist.net/anime/238/Rekka_no_Honoo
10,Senyuu.,,TV,13.0,94911.0,,7.38,"['Action', 'Comedy', 'Parody', 'Fantasy', 'Shounen']",        Jan 2013 - Apr 2013,https://myanimelist.net/anime/15751/Senyuu
11,Shin Chou Kyou Ryo: Condor Hero,The Legend of Condor Hero,TV,26.0,7167.0,,7.37,"['Adventure', 'Drama', 'Historical', 'Romance']",        Apr 2001 - Oct 2002,https://myanimelist.net/anime/959/Shin_Chou_Kyou_Ryo__Condor_Hero
12,Slam Dunk (Movie),,Movie,1.0,12687.0,,7.38,"['Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life', 'Sports']",        Mar 1994 - Mar 1994,https://myanimelist.net/anime/1764/Slam_Dunk_Movie
13,Speed Grapher,,TV,24.0,89571.0,,7.37,"['Action', 'Mystery', 'Super Power']",        Apr 2005 - Sep 2005,https://myanimelist.net/anime/198/Speed_Grapher
14,Starmyu 2nd Season,,TV,12.0,12843.0,,7.38,"['Music', 'Slice of Life', 'School']",        Apr 2017 - Jun 2017,https://myanimelist.net/anime/33362/Starmyu_2nd_Season
15,Sword Art Online,,TV,25.0,1830445.0,,7.36,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",        Jul 2012 - Dec 2012,https://myanimelist.net/anime/11757/Sword_Art_Online
16,Tamako Market,,TV,12.0,244400.0,,7.38,"['Slice of Life', 'Comedy']",        Jan 2013 - Mar 2013,https://myanimelist.net/anime/16417/Tamako_Market
17,Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,"The Prince of Tennis: The Two Samurai, The First Game",Movie,1.0,17654.0,,7.38,"['Action', 'Sports', 'Shounen']",        Jan 2005 - Jan 2005,https://myanimelist.net/anime/815/Tennis_no_Ouji-sama_Movie_1__Futari_no_Samurai_-_The_First_Game
18,Uchuu Show e Youkoso,Welcome to THE SPACE SHOW,Movie,1.0,19019.0,,7.38,"['Adventure', 'Space', 'Fantasy']",        Feb 2010 - Feb 2010,https://myanimelist.net/anime/8115/Uchuu_Show_e_Youkoso
19,Yowamushi Pedal: Re:RIDE,Yowapeda Re:RIDE,Movie,1.0,8652.0,,7.38,"['Sports', 'Drama', 'Shounen']",        Sep 2014 - Sep 2014,https://myanimelist.net/anime/25755/Yowamushi_Pedal__Re_RIDE
20,Yuusha Keisatsu J-Decker,,TV,48.0,2223.0,,7.39,"['Action', 'Adventure', 'Police', 'Mecha', 'Sci-Fi']",        Feb 1994 - Jan 1995,https://myanimelist.net/anime/5075/Yuusha_Keisatsu_J-Decker
21,"""Bungaku Shoujo"" Memoire",,OVA,3.0,24129.0,,7.37,"['Drama', 'Romance', 'School']",        Jun 2010 - Dec 2010,https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire
22,Aa! Megami-sama! (2011),,OVA,3.0,17896.0,,7.36,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",        Feb 2011 - Aug 2013,https://myanimelist.net/anime/9611/Aa_Megami-sama_2011
23,Aa! Megami-sama! (TV),Ah! My Goddess,TV,24.0,128165.0,,7.37,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",        Jan 2005 - Jul 2005,https://myanimelist.net/anime/50/Aa_Megami-sama_TV
24,Afro Samurai,,TV,5.0,233809.0,,7.36,"['Action', 'Adventure', 'Samurai']",        May 2007 - May 2007,https://myanimelist.net/anime/1292/Afro_Samurai
25,Bai She: Yuan Qi,White Snake,Movie,1.0,2170.0,,7.37,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",        Jan 2019 - Jan 2019,https://myanimelist.net/anime/38740/Bai_She__Yuan_Qi
26,Bokutachi wa Benkyou ga Dekinai OVA,,OVA,2.0,32763.0,,7.36,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']",        Nov 2019 - Apr 2020,https://myanimelist.net/anime/39819/Bokutachi_wa_Benkyou_ga_Dekinai_OVA
27,"Chi's Sweet Home: Chi to Kocchi, Deau.",,OVA,1.0,6160.0,,7.37,"['Slice of Life', 'Comedy', 'Kids']",        Apr 2010 - Apr 2010,https://myanimelist.net/anime/7972/Chis_Sweet_Home__Chi_to_Kocchi_Deau
28,Chiisana Penguin Lolo no Bouken,The Adventures of Scamper the Penguin,OVA,3.0,2243.0,,7.37,"['Adventure', 'Drama', 'Fantasy', 'Kids', 'Slice of Life']",        1986 - 1987,https://myanimelist.net/anime/4138/Chiisana_Penguin_Lolo_no_Bouken
29,Doraemon,,TV,26.0,13823.0,,7.37,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",        Apr 1973 - Sep 1973,https://myanimelist.net/anime/501/Doraemon
30,God Eater,,TV,13.0,371410.0,,7.37,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",        Jul 2015 - Mar 2016,https://myanimelist.net/anime/27631/God_Eater
31,Hadashi no Gen 2,Barefoot Gen 2,Movie,1.0,8278.0,,7.37,"['Drama', 'Historical', 'Shounen']",        Jun 1986 - Jun 1986,https://myanimelist.net/anime/1825/Hadashi_no_Gen_2
32,Heisei Tanuki Gassen Ponpoko,Pom Poko,Movie,1.0,60893.0,,7.36,['Kids'],        Jun 1994 - Jun 1994,https://myanimelist.net/anime/1030/Heisei_Tanuki_Gassen_Ponpoko
33,Initial D Extra Stage,,OVA,2.0,30037.0,,7.36,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",        Mar 2001 - Mar 2001,https://myanimelist.net/anime/822/Initial_D_Extra_Stage
34,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,Isekai Izakaya: Japanese Food From Another World,ONA,24.0,19822.0,,7.37,['Fantasy'],        Apr 2018 - Sep 2018,https://myanimelist.net/anime/34420/Isekai_Izakaya__Koto_Aitheria_no_Izakaya_Nobu
35,Isekai Shokudou,Restaurant to Another World,TV,12.0,131489.0,,7.36,"['Comedy', 'Fantasy', 'Mystery']",        Jul 2017 - Sep 2017,https://myanimelist.net/anime/34012/Isekai_Shokudou
36,Kanojo to Kanojo no Neko,She and Her Cat: Their Standing Points,OVA,1.0,77217.0,,7.36,"['Drama', 'Psychological', 'Romance', 'Slice of Life']",        Apr 2002 - Apr 2002,https://myanimelist.net/anime/1004/Kanojo_to_Kanojo_no_Neko
37,Kokoro Yohou,Heart Forecast,Music,1.0,848.0,,7.37,"['Music', 'Romance']",        Jan 2020 - Jan 2020,https://myanimelist.net/anime/41195/Kokoro_Yohou
38,Kowarekake no Orgel,,OVA,1.0,31426.0,,7.36,"['Drama', 'Music', 'Sci-Fi', 'Slice of Life']",        Dec 2009 - Dec 2009,https://myanimelist.net/anime/9213/Kowarekake_no_Orgel
39,Kurau Phantom Memory,,TV,24.0,24834.0,,7.36,"['Action', 'Sci-Fi', 'Space', 'Super Power', 'Drama']",        Jun 2004 - Dec 2004,https://myanimelist.net/anime/483/Kurau_Phantom_Memory
40,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,,TV,13.0,92978.0,,7.37,"['Fantasy', 'Mystery', 'Supernatural']",        Jul 2019 - Sep 2019,https://myanimelist.net/anime/38959/Lord_El-Melloi_II_Sei_no_Jikenbo__Rail_Zeppelin_Grace_Note
41,Maria-sama ga Miteru,Maria Watches Over Us,TV,13.0,49222.0,,7.37,"['Slice of Life', 'Drama', 'Romance', 'Shoujo', 'Shoujo Ai']",        Jan 2004 - Apr 2004,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru
42,Maria-sama ga Miteru: Haru Specials,Maria Watches Over Us: Printemps,Special,6.0,7117.0,,7.36,"['Slice of Life', 'Romance', 'School', 'Drama', 'Shoujo', 'Shoujo Ai']",        Oct 2004 - May 2005,https://myanimelist.net/anime/3469/Maria-sama_ga_Miteru__Haru_Specials
43,Mayo Chiki!,,TV,13.0,344348.0,,7.37,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",        Jul 2011 - Sep 2011,https://myanimelist.net/anime/10110/Mayo_Chiki
44,Mekakucity V's,,Music,4.0,4132.0,,7.37,"['Music', 'Romance', 'Super Power', 'Supernatural']",        Jan 2014 - Jan 2014,https://myanimelist.net/anime/34318/Mekakucity_Vs
45,Minami-ke Okawari,,TV,13.0,62830.0,,7.36,"['Comedy', 'School', 'Slice of Life']",        Jan 2008 - Mar 2008,https://myanimelist.net/anime/3225/Minami-ke_Okawari
46,Naruto: Shippuuden - Sunny Side Battle,,Special,1.0,34253.0,,7.38,"['Action', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",        Oct 2013 - Oct 2013,https://myanimelist.net/anime/19511/Naruto__Shippuuden_-_Sunny_Side_Battle
47,Nogizaka Haruka no Himitsu: Finale,Haruka Nogizaka's Secret: Finale,OVA,4.0,29972.0,,7.37,"['Comedy', 'Romance']",        Aug 2012 - Nov 2012,https://myanimelist.net/anime/10928/Nogizaka_Haruka_no_Himitsu__Finale
48,One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,One Piece The Movie: Episode of Alabasta - The Desert Princess and the Pirates,Movie,1.0,45458.0,,7.37,"['Action', 'Adventure', 'Fantasy', 'Shounen']",        Mar 2007 - Mar 2007,https://myanimelist.net/anime/2107/One_Piece_Movie_8__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi
49,Outbreak Company,,TV,12.0,251554.0,,7.36,"['Harem', 'Comedy', 'Parody', 'Fantasy']",        Oct 2013 - Dec 2013,https://myanimelist.net/anime/19369/Outbreak_Company
