,name,type,episodes,members,score_members,rating,genre,dates,url
0,Keibiin,OVA,3.0,853.0,246.0,5.69,['Hentai'],        Nov 2000 - Mar 2001,https://myanimelist.net/anime/5664/Keibiin
1,Shin Ruri-iro no Yuki,OVA,4.0,711.0,161.0,5.7,['Hentai'],        Dec 2000 - Nov 2001,https://myanimelist.net/anime/5665/Shin_Ruri-iro_no_Yuki
2,Buta HimesamaQueen Meets Orc,OVA,1.0,4141.0,1757.0,5.69,"['Hentai', 'Supernatural', 'Fantasy']",        Aug 2011 - Aug 2011,https://myanimelist.net/anime/10764/Buta_Himesama
3,CleopatraCleopatra: Queen of Sex,Movie,1.0,3533.0,1242.0,5.69,"['Sci-Fi', 'Hentai', 'Historical']",        Sep 1970 - Sep 1970,https://myanimelist.net/anime/2755/Cleopatra
4,HyakkiHyakki: The Secret of Devil's Island,OVA,3.0,2171.0,618.0,5.69,"['Hentai', 'Horror']",        Mar 2003 - Sep 2003,https://myanimelist.net/anime/1782/Hyakki
5,Isourou Tengoku,OVA,2.0,659.0,164.0,5.69,['Hentai'],        Dec 1996 - Nov 1997,https://myanimelist.net/anime/4824/Isourou_Tengoku
6,Mahou Shoujo MeruruMagic Woman M,OVA,2.0,1781.0,614.0,5.68,"['Adventure', 'Fantasy', 'Magic', 'Hentai']",        Jan 1997 - Apr 1998,https://myanimelist.net/anime/3526/Mahou_Shoujo_Meruru
7,Onmyouji: Youen Emaki,OVA,2.0,1723.0,503.0,5.7,"['Hentai', 'Demons']",        Sep 2003 - Dec 2003,https://myanimelist.net/anime/5049/Onmyouji__Youen_Emaki
8,Onna Maou Melissa no H na Boukenki,ONA,,977.0,294.0,5.71,"['Hentai', 'Demons', 'Magic', 'Fantasy']",        May 2019 - ,https://myanimelist.net/anime/39842/Onna_Maou_Melissa_no_H_na_Boukenki
9,Princess Memory,OVA,2.0,1252.0,344.0,5.69,"['Fantasy', 'Hentai', 'Romance']",        Jun 2001 - Sep 2001,https://myanimelist.net/anime/1402/Princess_Memory
10,Seisen GakuinHoly Sleazy School,OVA,1.0,2648.0,819.0,5.68,['Hentai'],        Jun 2007 - Jun 2007,https://myanimelist.net/anime/4492/Seisen_Gakuin
11,Blood Royale,OVA,2.0,4296.0,1483.0,5.67,['Hentai'],        Aug 2002 - Nov 2002,https://myanimelist.net/anime/1386/Blood_Royale
12,Ebenbourg no Kaze,OVA,2.0,1426.0,464.0,5.69,['Hentai'],        Jul 2003 - Sep 2003,https://myanimelist.net/anime/4487/Ebenbourg_no_Kaze
13,Inma Daitoshi: Beast CityBeast City,OVA,3.0,2040.0,609.0,5.67,['Hentai'],        May 1996 - Apr 1998,https://myanimelist.net/anime/1595/Inma_Daitoshi__Beast_City
14,Isaku,OVA,3.0,1586.0,543.0,5.66,['Hentai'],        Nov 1997 - May 1998,https://myanimelist.net/anime/3586/Isaku
