,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Platonic Chain,,TV,24.0,2027.0,,5.62,"['Sci-Fi', 'Slice of Life']",        Oct 2002 - Mar 2003,https://myanimelist.net/anime/611/Platonic_Chain
1,Senjou no Valkyria Special,,Special,1.0,962.0,,5.62,['Comedy'],        Apr 2010 - Apr 2010,https://myanimelist.net/anime/37908/Senjou_no_Valkyria_Special
2,Starry Tales: Seiza wa Toki wo Koete,,Movie,1.0,768.0,,5.61,"['Fantasy', 'Space']",        Mar 2011 - Mar 2011,https://myanimelist.net/anime/32563/Starry_Tales__Seiza_wa_Toki_wo_Koete
3,Super Backkom,Super Bernard,Special,1.0,267.0,,5.61,"['Comedy', 'Kids', 'Super Power']",        2008 - 2008,https://myanimelist.net/anime/26011/Super_Backkom
4,The Gakuen Choujo-tai,The Chohjotai,OVA,1.0,540.0,,5.62,"['Action', 'Demons', 'Shoujo', 'Super Power']",        Jun 1991 - Jun 1991,https://myanimelist.net/anime/12401/The_Gakuen_Choujo-tai
5,Usakame Special,,Special,1.0,1627.0,,5.62,"['Comedy', 'Sports', 'Shounen']",        Aug 2016 - Aug 2016,https://myanimelist.net/anime/34615/Usakame_Special
6,Waza no Tabibito,,Movie,1.0,645.0,,5.62,"['Adventure', 'Fantasy']",        Jul 2011 - Jul 2011,https://myanimelist.net/anime/10904/Waza_no_Tabibito
7,Anime Tenchou Movie,,Special,1.0,1900.0,,5.61,"['Action', 'Parody']",        Nov 2010 - Nov 2010,https://myanimelist.net/anime/9861/Anime_Tenchou_Movie
8,Backkom: Jung-gug Gijeogwi,,Special,1.0,335.0,,5.61,"['Comedy', 'Kids']",        2013 - 2013,https://myanimelist.net/anime/26015/Backkom__Jung-gug_Gijeogwi
9,Bulg-eunmae,Red Hawk - Weapon Of Death,Movie,1.0,917.0,,5.61,"['Super Power', 'Martial Arts']",        Aug 1995 - Aug 1995,https://myanimelist.net/anime/1776/Bulg-eunmae
10,Crash!,,Special,3.0,1485.0,,5.61,"['Comedy', 'Shoujo']",        Nov 2012 - Nov 2012,https://myanimelist.net/anime/15893/Crash
11,Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,,OVA,2.0,1348.0,,5.6,"['Action', 'Fantasy', 'Magic']",        Oct 1992 - Nov 1992,https://myanimelist.net/anime/3025/Dragon_Slayer_Eiyuu_Densetsu__Ouji_no_Tabidachi
12,Gekkou Shokudou,,Music,1.0,253.0,,5.62,['Music'],        Nov 2012 - Nov 2012,https://myanimelist.net/anime/32761/Gekkou_Shokudou
13,"Go! Go! 575: Meippai ni, Hajiketeru?",,Special,1.0,2590.0,,5.6,['Slice of Life'],        Oct 2014 - Oct 2014,https://myanimelist.net/anime/28077/Go_Go_575__Meippai_ni_Hajiketeru
14,Gun-dou Musashi,Gun Samurai,TV,26.0,5677.0,,5.87,"['Adventure', 'Samurai', 'Fantasy']",        Apr 2006 - Oct 2006,https://myanimelist.net/anime/1200/Gun-dou_Musashi
15,Gundam: Mission to the Rise,,Special,1.0,4044.0,,5.61,"['Action', 'Mecha', 'Sci-Fi']",        Aug 1998 - Aug 1998,https://myanimelist.net/anime/4540/Gundam__Mission_to_the_Rise
16,Hietsuki Bushi,,Music,1.0,236.0,,5.61,"['Sci-Fi', 'Music', 'Fantasy']",        2011 - 2011,https://myanimelist.net/anime/32618/Hietsuki_Bushi
17,Kyoto Animation: Sora-hen,Sky,Special,1.0,3487.0,,5.61,['Slice of Life'],        Jul 2010 - Jul 2010,https://myanimelist.net/anime/13375/Kyoto_Animation__Sora-hen
18,Meiji x Kokosake & anohana Receipt Oubo Campaign,,Special,2.0,6602.0,,5.61,['Drama'],        Jun 2015 - Jul 2015,https://myanimelist.net/anime/31165/Meiji_x_Kokosake___anohana_Receipt_Oubo_Campaign
19,Namakura Gatana,The Dull Sword,Movie,1.0,4903.0,,5.61,"['Comedy', 'Samurai']",        Jun 1917 - Jun 1917,https://myanimelist.net/anime/6654/Namakura_Gatana
20,Obsolete,,ONA,12.0,3041.0,,5.61,['Mecha'],        Dec 2019 - 2020,https://myanimelist.net/anime/40438/Obsolete
21,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",,TV,12.0,42467.0,,5.6,"['Ecchi', 'Romance', 'School']",        Oct 2017 - Dec 2017,https://myanimelist.net/anime/36198/Omiai_Aite_wa_Oshiego_Tsuyoki_na_Mondaiji
22,One Room,,TV,12.0,69092.0,,5.61,['Slice of Life'],        Jan 2017 - Mar 2017,https://myanimelist.net/anime/34392/One_Room
23,Onna Senshi Efe & Jira: Gude no Monshou,Gude Crest: The Emblem of Gude,Movie,1.0,930.0,,5.61,"['Adventure', 'Fantasy']",        Jun 1990 - Jun 1990,https://myanimelist.net/anime/2069/Onna_Senshi_Efe___Jira__Gude_no_Monshou
24,Ozmafia!! Special,,Special,1.0,1449.0,,5.58,"['Historical', 'School', 'Shoujo']",        Oct 2016 - Oct 2016,https://myanimelist.net/anime/33618/Ozmafia_Special
25,Pair,,Music,1.0,941.0,,5.59,['Music'],        Aug 2011 - Aug 2011,https://myanimelist.net/anime/11189/Pair
26,Pan de Peace!,,TV,13.0,26502.0,,5.61,"['Slice of Life', 'Comedy', 'School']",        Apr 2016 - Jun 2016,https://myanimelist.net/anime/31498/Pan_de_Peace
27,Peeping Life: The Perfect Emotion,,OVA,10.0,574.0,,5.59,"['Slice of Life', 'Comedy']",        Apr 2010 - Apr 2010,https://myanimelist.net/anime/16371/Peeping_Life__The_Perfect_Emotion
28,Ponkotsu Quest x Digimon Story: Cyber Sleuth - Hacker's Memory,,ONA,1.0,532.0,,5.61,"['Sci-Fi', 'Comedy', 'Parody']",        Oct 2017 - Oct 2017,https://myanimelist.net/anime/36715/Ponkotsu_Quest_x_Digimon_Story__Cyber_Sleuth_-_Hackers_Memory
29,Stay the Same,,Music,1.0,277.0,,5.61,"['Music', 'Kids']",        Jan 2012 - Jan 2012,https://myanimelist.net/anime/15653/Stay_the_Same
30,Taneyamagahara no Yoru,,Movie,1.0,4144.0,,5.6,"['Fantasy', 'Kids', 'Psychological', 'Slice of Life']",        Jul 2006 - Jul 2006,https://myanimelist.net/anime/2767/Taneyamagahara_no_Yoru
31,Tengu Desu,,Music,1.0,476.0,,5.6,"['Demons', 'Music']",        Oct 2018 - Oct 2018,https://myanimelist.net/anime/38521/Tengu_Desu
32,Usogui,,OVA,1.0,1348.0,,5.6,"['Game', 'Psychological', 'Seinen']",        Oct 2012 - Oct 2012,https://myanimelist.net/anime/13303/Usogui
33,Wakusei Daikaiju Negadon,Negadon: The Monster from Mars,Movie,1.0,1128.0,,5.61,"['Action', 'Fantasy', 'Mecha', 'Military', 'Sci-Fi', 'Space']",        Oct 2005 - Oct 2005,https://myanimelist.net/anime/3070/Wakusei_Daikaiju_Negadon
34,A-Girl,,OVA,1.0,1703.0,,5.6,"['Music', 'Romance', 'School', 'Shoujo']",        Sep 1993 - Sep 1993,https://myanimelist.net/anime/5447/A-Girl
35,Gift nor Art,,Music,1.0,236.0,,5.6,['Music'],        Nov 2012 - Nov 2012,https://myanimelist.net/anime/39281/Gift_nor_Art
36,Good Morning Althea,,OVA,1.0,1359.0,,5.59,"['Action', 'Sci-Fi', 'Space', 'Mecha']",        Dec 1987 - Dec 1987,https://myanimelist.net/anime/2482/Good_Morning_Althea
37,Hamaneko,,Special,1.0,235.0,,5.58,['Slice of Life'],        Nov 2014 - Nov 2014,https://myanimelist.net/anime/36622/Hamaneko
38,Hentatsu,,ONA,9.0,1093.0,,5.59,['Comedy'],        Jan 2018 - Sep 2019,https://myanimelist.net/anime/37948/Hentatsu
