,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Taiho Shichau zo: Full Throttle,You're Under Arrest: Full Throttle,TV,23.0,7318.0,,7.22,"['Action', 'Comedy', 'Police', 'Shounen']",        Oct 2007 - Mar 2008,https://myanimelist.net/anime/3000/Taiho_Shichau_zo__Full_Throttle
1,Tears to Tiara,,TV,26.0,65461.0,,7.22,"['Action', 'Adventure', 'Fantasy', 'Magic']",        Apr 2009 - Sep 2009,https://myanimelist.net/anime/3594/Tears_to_Tiara
2,Tenchi Muyou! in Love 2: Haruka Naru Omoi,Tenchi Forever!,Movie,1.0,13088.0,,7.22,"['Sci-Fi', 'Drama', 'Romance', 'Shounen']",        Apr 1999 - Apr 1999,https://myanimelist.net/anime/1144/Tenchi_Muyou_in_Love_2__Haruka_Naru_Omoi
3,"Wake Up, Girls! Beyond the Bottom",,Movie,1.0,6408.0,,7.22,"['Music', 'Drama']",        Dec 2015 - Dec 2015,https://myanimelist.net/anime/30419/Wake_Up_Girls_Beyond_the_Bottom
4,Wo Shi Jiang Xiaobai (2018),I'm Joybo OVA,ONA,1.0,1852.0,,7.22,"['Drama', 'Romance', 'Slice of Life']",        May 2018 - May 2018,https://myanimelist.net/anime/37886/Wo_Shi_Jiang_Xiaobai_2018
5,Yawara!: Zutto Kimi no Koto ga...,,Special,1.0,1721.0,,7.23,"['Action', 'Slice of Life', 'Comedy', 'Sports', 'Drama', 'Martial Arts']",        Jul 1996 - Jul 1996,https://myanimelist.net/anime/2009/Yawara__Zutto_Kimi_no_Koto_ga
6,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,,Movie,1.0,3715.0,,7.22,"['Fantasy', 'Kids', 'Magic', 'Romance', 'Shoujo', 'Super Power']",        Nov 2008 - Nov 2008,https://myanimelist.net/anime/4703/Yes_Precure_5_GoGo_Movie__Okashi_no_Kuni_no_Happy_Birthday
7,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Yu Yu Hakusho the Movie: Poltergeist Report,Movie,1.0,20082.0,,7.22,"['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",        Apr 1994 - Apr 1994,https://myanimelist.net/anime/883/Yuu☆Yuu☆Hakusho__Meikai_Shitou-hen_-_Honoo_no_Kizuna
8,.hack//Quantum,,OVA,3.0,34876.0,,7.21,"['Action', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi']",        Jan 2011 - Apr 2011,https://myanimelist.net/anime/9332/hack__Quantum
9,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,,Special,1.0,12387.0,,7.21,"['Comedy', 'Drama']",        Feb 2012 - Feb 2012,https://myanimelist.net/anime/38963/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai__Menma_e_no_Tegami
10,Aoharu x Kikanjuu,Aoharu x Machinegun,TV,12.0,167711.0,,7.21,"['Action', 'Comedy', 'Sports', 'Shounen']",        Jul 2015 - Sep 2015,https://myanimelist.net/anime/30205/Aoharu_x_Kikanjuu
11,Blame! Movie,,Movie,1.0,72859.0,,7.21,"['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Seinen']",        May 2017 - May 2017,https://myanimelist.net/anime/32086/Blame_Movie
12,Blood Lad: Wagahai wa Neko de wa Nai,Blood Lad OVA,OVA,1.0,81040.0,,7.21,"['Action', 'Comedy', 'Demons', 'Seinen', 'Supernatural', 'Vampire']",        Dec 2013 - Dec 2013,https://myanimelist.net/anime/18441/Blood_Lad__Wagahai_wa_Neko_de_wa_Nai
13,Denpa Onna to Seishun Otoko,Ground Control to Psychoelectric Girl,TV,12.0,231034.0,,7.21,"['Sci-Fi', 'Slice of Life', 'Comedy']",        Apr 2011 - Jul 2011,https://myanimelist.net/anime/9379/Denpa_Onna_to_Seishun_Otoko
14,Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon the Movie: Nobita and the Kingdom of Clouds,Movie,1.0,3502.0,,7.2,"['Adventure', 'Comedy']",        Mar 1992 - Mar 1992,https://myanimelist.net/anime/2661/Doraemon_Movie_13__Nobita_to_Kumo_no_Oukoku
15,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,Doraemon the Movie: Nobita and the Birth of Japan 2016,Movie,1.0,1764.0,,7.22,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",        Mar 2016 - Mar 2016,https://myanimelist.net/anime/31201/Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou
16,Double Decker! Doug & Kirill: Extra,,Special,3.0,4927.0,,7.21,"['Action', 'Sci-Fi', 'Comedy', 'Police']",        Feb 2019 - Apr 2019,https://myanimelist.net/anime/38895/Double_Decker_Doug___Kirill__Extra
17,Highschool of the Dead,,TV,12.0,970089.0,,7.21,"['Action', 'Horror', 'Supernatural', 'Ecchi', 'Shounen']",        Jul 2010 - Sep 2010,https://myanimelist.net/anime/8074/Highschool_of_the_Dead
18,Hokuto no Ken Movie,Fist of the North Star: The Movie,Movie,1.0,15376.0,,7.21,"['Sci-Fi', 'Adventure', 'Shounen']",        Mar 1986 - Mar 1986,https://myanimelist.net/anime/1358/Hokuto_no_Ken_Movie
19,Inou-Battle wa Nichijou-kei no Naka de,When Supernatural Battles Became Commonplace,TV,12.0,281184.0,,7.2,"['Harem', 'Slice of Life', 'Comedy', 'Supernatural', 'Romance', 'School']",        Oct 2014 - Dec 2014,https://myanimelist.net/anime/25159/Inou-Battle_wa_Nichijou-kei_no_Naka_de
20,Kaitou Joker 3rd Season,JOKER 3rd Season,TV,13.0,3493.0,,7.21,"['Adventure', 'Comedy', 'Mystery', 'Shounen']",        Apr 2016 - Jun 2016,https://myanimelist.net/anime/31670/Kaitou_Joker_3rd_Season
