,name,type,episodes,members,score_members,rating,genre,dates,url
0,Xiang Ling Ji,ONA,15.0,1176.0,286.0,6.7,"['Action', 'Demons', 'Fantasy']",        Mar 2017 - Aug 2017,https://myanimelist.net/anime/36290/Xiang_Ling_Ji
1,Ai Tenshi Densetsu Wedding Peach DXWedding Peach DX,OVA,4.0,4522.0,2104.0,6.69,"['Adventure', 'Magic', 'Comedy', 'Romance', 'Shoujo']",        Dec 1996 - Jul 1997,https://myanimelist.net/anime/1957/Ai_Tenshi_Densetsu_Wedding_Peach_DX
2,Akakichi no Eleven,TV,52.0,1496.0,359.0,6.69,['Sports'],        Apr 1970 - Apr 1971,https://myanimelist.net/anime/2316/Akakichi_no_Eleven
3,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,Movie,1.0,1924.0,741.0,6.69,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",        Aug 1999 - Aug 1999,https://myanimelist.net/anime/2289/Akihabara_Dennou-gumi__2011-nen_no_Natsuyasumi
4,Aldnoah.Zero Extra Archives,Special,1.0,12017.0,3807.0,6.69,"['Action', 'Sci-Fi', 'Mecha']",        Jan 2015 - Jan 2015,https://myanimelist.net/anime/29223/AldnoahZero_Extra_Archives
5,Alps Monogatari: Watashi no Annette,TV,48.0,2817.0,1099.0,6.69,"['Slice of Life', 'Historical', 'Drama']",        Jan 1983 - Dec 1983,https://myanimelist.net/anime/2546/Alps_Monogatari__Watashi_no_Annette
6,Astarotte no Omocha! EXAstarotte's Toy EX,OVA,1.0,29976.0,15532.0,6.69,"['Comedy', 'Demons', 'Ecchi', 'Fantasy', 'Romance', 'Seinen']",        Sep 2011 - Sep 2011,https://myanimelist.net/anime/10582/Astarotte_no_Omocha_EX
7,Bakumatsu no Spasibo,Movie,1.0,1076.0,265.0,6.69,['Historical'],        Sep 1997 - Sep 1997,https://myanimelist.net/anime/8092/Bakumatsu_no_Spasibo
8,Bakuten Shoot Beyblade 2002Beyblade V-Force,TV,51.0,45703.0,28421.0,6.69,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Sports']",        Jan 2002 - Dec 2002,https://myanimelist.net/anime/1669/Bakuten_Shoot_Beyblade_2002
9,Candy Candy: Candy no Natsu YasumiCandy Candy: Candy's Summer Vacation,Movie,1.0,1667.0,591.0,6.69,"['Slice of Life', 'Drama', 'Shoujo']",        Jul 1978 - Jul 1978,https://myanimelist.net/anime/2802/Candy_Candy__Candy_no_Natsu_Yasumi
