,name,type,episodes,members,score_members,rating,genre,dates,url
27,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,TV,9.0,33427.0,12583.0,7.15,"['Action', 'Super Power', 'Magic', 'Romance', 'Fantasy']",        Jan 2009 - Mar 2009,https://myanimelist.net/anime/5702/Sora_wo_Miageru_Shoujo_no_Hitomi_ni_Utsuru_Sekai
28,Soukou Kihei Votoms: The Last Red ShoulderArmored Trooper Votoms: The Last Red Shoulder,OVA,1.0,2937.0,1442.0,7.15,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",        Aug 1985 - Aug 1985,https://myanimelist.net/anime/2583/Soukou_Kihei_Votoms__The_Last_Red_Shoulder
29,Tenchi Muyou! Manatsu no EveTenchi the Movie 2: Daughter of Darkness,Movie,1.0,13022.0,6878.0,7.15,"['Action', 'Comedy', 'Sci-Fi', 'Shounen', 'Space']",        Aug 1997 - Aug 1997,https://myanimelist.net/anime/1101/Tenchi_Muyou_Manatsu_no_Eve
30,Tengen Toppa Gurren Lagann: Parallel Works,Music,8.0,28502.0,14578.0,7.15,['Music'],        Jun 2008 - Sep 2008,https://myanimelist.net/anime/4705/Tengen_Toppa_Gurren_Lagann__Parallel_Works
31,Tom Sawyer no BoukenThe Adventures of Tom Sawyer,TV,49.0,4853.0,2048.0,7.15,"['Adventure', 'Slice of Life', 'Historical', 'Drama']",        Jan 1980 - Dec 1980,https://myanimelist.net/anime/2577/Tom_Sawyer_no_Bouken
32,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,OVA,,28720.0,9302.0,7.15,"['Magic', 'Vampire', 'Fantasy']",        Dec 2008 - ,https://myanimelist.net/anime/9874/Touhou_Niji_Sousaku_Doujin_Anime__Musou_Kakyou
33,Yes! Precure 5 GoGo!,TV,48.0,6553.0,2342.0,7.15,"['Action', 'Magic', 'Fantasy', 'School', 'Shoujo']",        Feb 2008 - Jan 2009,https://myanimelist.net/anime/3692/Yes_Precure_5_GoGo
34,Yuugo: KoushouninYugo The Negotiator,TV,13.0,9408.0,2697.0,7.15,"['Action', 'Military', 'Mystery', 'Psychological', 'Drama', 'Seinen']",        Feb 2004 - May 2004,https://myanimelist.net/anime/1246/Yuugo__Koushounin
35,A-Channel+smile,OVA,2.0,19015.0,9666.0,7.14,"['Comedy', 'School', 'Seinen', 'Slice of Life']",        Mar 2012 - Mar 2012,https://myanimelist.net/anime/11339/A-Channel_smile
36,All Out!!,TV,25.0,79521.0,31724.0,7.14,"['School', 'Seinen', 'Sports']",        Oct 2016 - Mar 2017,https://myanimelist.net/anime/31588/All_Out
37,Another World,ONA,3.0,10284.0,3727.0,7.14,['Sci-Fi'],        Sep 2019 - Oct 2019,https://myanimelist.net/anime/40295/Another_World
