,name,type,episodes,members,score_members,rating,genre,dates,url,rating_type
14539,Vlad Love,TV,12.0,6019.0,,6.531088601950774,"['Comedy', 'Supernatural', 'Vampire', 'School']",         - ,https://myanimelist.net/anime/39990/Vlad_Love,modelled
14540,Wave!!: Surfing Yappe!!,Movie,3.0,3880.0,,6.389052937701657,"['Slice of Life', 'Sports']",        2020 - 2020,https://myanimelist.net/anime/40267/Wave__Surfing_Yappe,modelled
14541,WIXOSS,TV,,292.0,,5.552262248118353,"['Game', 'Psychological']",        2020 - ,https://myanimelist.net/anime/41521/WIXOSS,modelled
14542,World Trigger 2,TV,,15050.0,,6.8275443416401576,"['Action', 'Sci-Fi', 'Supernatural', 'School', 'Shounen']",         - ,https://myanimelist.net/anime/40907/World_Trigger_2,modelled
14543,Wu Shan Wu XingFog Hill of Five Elements,ONA,,1783.0,,6.137534772019329,"['Action', 'Fantasy', 'Historical', 'Martial Arts']",        2019 - ,https://myanimelist.net/anime/37936/Wu_Shan_Wu_Xing,modelled
14544,Xian Yue Meng YingReflection of Crescent,OVA,1.0,1931.0,,6.163329306125832,"['Action', 'Shounen Ai', 'Supernatural']",         - ,https://myanimelist.net/anime/33295/Xian_Yue_Meng_Ying,modelled
14545,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,,144562.0,,7.55936368757359,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",        Jul 2020 - ,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,modelled
14546,Yakusoku no Neverland 2nd SeasonThe Promised Neverland 2nd Season,TV,,131796.0,,7.529456895881472,"['Sci-Fi', 'Mystery', 'Psychological', 'Thriller', 'Shounen']",        Jan 2021 - ,https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season,modelled
14547,Yes ka No ka Hanbun ka,Movie,1.0,2633.0,,6.263635978707082,"['Drama', 'Shounen Ai']",        2020 - 2020,https://myanimelist.net/anime/40646/Yes_ka_No_ka_Hanbun_ka,modelled
14548,Yingxiong Zai Lin,ONA,,738.0,,5.8521899548237535,['Action'],        2020 - ,https://myanimelist.net/anime/40979/Yingxiong_Zai_Lin,modelled
14549,Yousei Chii-tan☆,TV,,109.0,,5.233502845350131,"['Slice of Life', 'Kids']",         - ,https://myanimelist.net/anime/39110/Yousei_Chii-tan☆,modelled
14550,Yuri!!! on Ice The Movie: Ice AdolescenceYuri on Ice the Movie: Ice Adolescence,Movie,1.0,36040.0,,7.11002398004379,"['Comedy', 'Sports']",         - ,https://myanimelist.net/anime/35500/Yuri_on_Ice_The_Movie__Ice_Adolescence,modelled
14551,Yuru Camp△ 2nd SeasonLaid-Back Camp,TV,,38626.0,,7.132439933065774,"['Slice of Life', 'Comedy']",        Jan 2021 - ,https://myanimelist.net/anime/38474/Yuru_Camp△_2nd_Season,modelled
14552,Yuru Camp△ Movie,Movie,1.0,19146.0,,6.905411169064711,"['Comedy', 'Slice of Life']",         - ,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie,modelled
14553,Yuuki Yuuna wa Yuusha de Aru Churutto!,Unknown,,0.0,,3.7159442243729686,"['Slice of Life', 'Comedy', 'Drama', 'Magic', 'Fantasy']",         - ,https://myanimelist.net/anime/42071/Yuuki_Yuuna_wa_Yuusha_de_Aru_Churutto,modelled
14554,Yuukoku no MoriartyMoriarty the Patriot,TV,,3074.0,,6.313728767918114,"['Mystery', 'Historical', 'Psychological', 'Shounen']",         - ,https://myanimelist.net/anime/40911/Yuukoku_no_Moriarty,modelled
14555,Zero Seiki Movie 1: Emeraldas,Movie,1.0,1807.0,,6.14185992124673,"['Action', 'Sci-Fi', 'Adventure']",        2020 - ,https://myanimelist.net/anime/35853/Zero_Seiki_Movie_1__Emeraldas,modelled
14556,Zero Seiki Movie 2: Herlock,Movie,1.0,1229.0,,6.017168881836515,"['Action', 'Sci-Fi', 'Adventure']",         - ,https://myanimelist.net/anime/35854/Zero_Seiki_Movie_2__Herlock,modelled
14607,Kamiusagi Rope x au CollaborationPaper Rabbit Rope x AU Collaboration,ONA,6.0,248.0,,5.499429809950632,"['Slice of Life', 'Comedy']",        Mar 2012 - Mar 2016,https://myanimelist.net/anime/13825/Kamiusagi_Rope_x_au_Collaboration,modelled
14608,Kamiusagi Rope x Panasonic CollaborationPaper Rabbit Rope x Panasonic Collaboration,Movie,1.0,259.0,,5.513468633565367,"['Slice of Life', 'Comedy']",        Mar 2012 - Mar 2012,https://myanimelist.net/anime/13827/Kamiusagi_Rope_x_Panasonic_Collaboration,modelled
14609,Kamiusagi Rope x Ricordi,ONA,3.0,105.0,,5.221408715254329,"['Comedy', 'Slice of Life']",        Apr 2019 - Oct 2019,https://myanimelist.net/anime/40478/Kamiusagi_Rope_x_Ricordi,modelled
14610,Kamiusagi Rope x ROPÉ Sisters,ONA,2.0,157.0,,5.351540135039044,['Comedy'],        Feb 2017 - Aug 2017,https://myanimelist.net/anime/35283/Kamiusagi_Rope_x_ROPÉ_Sisters,modelled
14611,Kamiusagi Rope x TOHO Cinemas,ONA,,169.0,,5.375365400334042,"['Comedy', 'Slice of Life']",        Nov 2009 - ,https://myanimelist.net/anime/35311/Kamiusagi_Rope_x_TOHO_Cinemas,modelled
